Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
KUDJOI,All Years,0.998,0.417465,846.1,0.375,3.98,6.37,1.600502513,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.6-1.8)
JULDAV,All Years,0.726,0.569422,1954.36,0.741,4.31,5.45,1.26450116,2D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3)
WABMET,All Years,0.823,0.495024,1705.07,0.567,6.23,6.91,1.109149278,1D,[0.8-1.0),[0.4-0.5),[1500-2000),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.1-1.2)
JUBHIX,All Years,0.749,0.602388,1792.21,0.729,8.14,9.66,1.186732187,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2)
PANVOP,All Years,0.764,0.604344,1274.66,0.717,11.93,12.45,1.043587594,1D,[0.6-0.8),[0.6-0.7),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
HAHPAH,All Years,1.322,0.075743,35.8,0.04,0.88,4.97,5.647727273,NON-POROUS,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
WEFSEF,All Years,1.638,0.119593,15.05,0.052,1.39,4.55,3.273381295,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
HAKZOI,All Years,1.509,0.177027,5.92,0.09,1.52,4.3,2.828947368,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0)
VOPLIV01,All Years,1.03,0.236441,106.56,0.166,1.52,4.95,3.256578947,2D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0)
HECYUJ,All Years,1.217,0.27973,62.7,0.188,1.61,4.55,2.826086957,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.5-3.0)
HAMSAP,All Years,1.431,0.15522,73.13,0.07,1.7,5.54,3.258823529,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[5.3-5.6),[3.0-4.0)
PETDIB,All Years,1.318,0.21506,70.66,0.144,2.08,4.46,2.144230769,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.0-2.5)
WEGJUN,All Years,1.287,0.232313,101.38,0.139,2.33,4.66,2,1D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5)
HAYPIG,All Years,1.468,0.356874,0.36,0.192,2.6,4.08,1.569230769,1D,[1.4-1.5),[0.3-0.4),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.5-1.6)
YARYOF,All Years,1.225,0.427867,117.62,0.403,3.15,4.6,1.46031746,1D,[1.2-1.3),[0.4-0.5),[100-150),[0.4-0.5),[3.0-3.3),[4.6-4.8),[1.4-1.5)
HALFAB,All Years,1.275,0.251051,24.39,0.18,3.44,4.24,1.23255814,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3)
