Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
OBEHAF,2004,1.574,0.267,49.4,0.183,3.63,4.28,1.179,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.6-3.8),[4.2-4.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBEHAF
ESEHEP,2004,1.192,0.363,189.34,0.268,3.63,5.14,1.416,1D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[3.6-3.8),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ESEHEP
ASEKUE,2004,0.922,0.441,641.51,0.459,3.63,5.13,1.413,2D,[0.8-1.0),[0.4-0.5),[600-800),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ASEKUE
JUZXAD01,2004,1.607,0.235,14.36,0.109,3.66,4.23,1.156,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[3.6-3.8),[4.2-4.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JUZXAD01
ALECUP,2004,1.216,0.435,465.48,0.375,3.67,5.03,1.371,1D,[1.2-1.3),[0.4-0.5),[400-500),[0.3-0.4),[3.6-3.8),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ALECUP
IWIRIP,2004,1.574,0.456,82.26,0.264,3.67,4.33,1.18,2D,[1.5-1.6),[0.4-0.5),[50-100),[0.2-0.3),[3.6-3.8),[4.3-4.4),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IWIRIP
ITAHEQ,2004,1.773,0.143,16.95,0.043,3.68,4.44,1.207,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[3.6-3.8),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ITAHEQ
EMUVUD,2004,1.34,0.216,119.73,0.156,3.7,4.94,1.335,1D,[1.3-1.4),[0.2-0.3),[100-150),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EMUVUD
BEMHUX,2004,1.151,0.458,716.07,0.359,3.71,7.2,1.941,2D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[3.6-3.8),[7.0-8.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEMHUX
EMAJIL,2004,1.47,0.442,201.78,0.222,3.72,4.71,1.266,1D,[1.4-1.5),[0.4-0.5),[200-300),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EMAJIL
