Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
KEHVUR,2017,1.383,0.151,3.48,0.08,1.22,4,3.279,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEHVUR
KALQIA,2017,1.81,0.113,0.03,0.059,1.23,4.01,3.26,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KALQIA
PAJFUE,2017,1.475,0.149,1.42,0.072,1.23,4.03,3.276,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAJFUE
REDBOU,2017,1.704,0.103,33.5,0.044,1.23,4.94,4.016,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REDBOU
REDGAL,2017,1.784,0.102,31.14,0.043,1.23,4.91,3.992,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REDGAL
DEBYAN,2017,1.468,0.199,55.77,0.1,1.23,4.91,3.992,2D,[1.4-1.5),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEBYAN
LAXCEV,2017,1.167,0.23,124.98,0.14,1.24,4.97,4.008,3D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAXCEV
IBIXID,2017,1.499,0.218,0.6,0.103,1.25,4.07,3.256,2D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IBIXID
YEGLOO,2017,1.247,0.082,0.34,0.035,1.25,4.07,3.256,3D,[1.2-1.3),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGLOO
YEGQUZ,2017,1.317,0.222,105.25,0.117,1.25,5,4,2D,[1.3-1.4),[0.2-0.3),[100-150),[0.1-0.2),[0.7-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEGQUZ
FECRIR,2017,1.36,0.158,0.82,0.077,1.26,4.12,3.27,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FECRIR
YAVYAW02,2017,1.585,0.059,0.1,0.022,1.26,4.11,3.262,3D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAVYAW02
LAPJIY,2017,2.049,0.196,3,0.077,1.27,4.15,3.268,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAPJIY
MAYRIQ,2017,1.398,0.121,15.77,0.048,1.28,4.19,3.273,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAYRIQ
REHYEL,2017,1.303,0.196,10.02,0.108,1.28,4.19,3.273,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=REHYEL
JENJEU,2017,1.241,0.268,12.32,0.152,1.29,4.21,3.264,3D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JENJEU
LAMRUP,2017,1.351,0.257,2.37,0.144,1.29,4.21,3.264,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAMRUP
ZAQSOC,2017,1.474,0.204,13.63,0.095,1.29,4.2,3.256,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAQSOC
LETBIY,2017,1.597,0.199,7.98,0.088,1.3,4.26,3.277,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETBIY
BEJYUN,2017,1.408,0.115,1.67,0.051,1.31,4.27,3.26,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEJYUN
CELWUO,2017,2.576,0.171,7.29,0.077,1.32,4.3,3.258,2D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CELWUO
KASGIX,2017,1.428,0.126,9.26,0.064,1.32,4.3,3.258,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KASGIX
NAVKIH,2017,1.592,0.198,7.34,0.086,1.32,4.31,3.265,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAVKIH
LESPAD,2017,1.554,0.161,10.17,0.081,1.33,4.35,3.271,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LESPAD
SELXUF,2017,1.241,0.109,15.87,0.053,1.33,4.33,3.256,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SELXUF
JAYSOU,2017,1.122,0.172,110.68,0.102,1.33,5.34,4.015,3D,[1.1-1.2),[0.1-0.2),[100-150),[0.1-0.2),[0.7-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JAYSOU
CAZXOT,2017,1.341,0.15,12.05,0.078,1.34,4.38,3.269,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAZXOT
LENTUW,2017,1.248,0.157,21.21,0.078,1.34,4.37,3.261,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LENTUW
NAVKON,2017,1.55,0.206,16.53,0.091,1.34,4.37,3.261,3D,[1.5-1.6),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAVKON
NENYAJ,2017,1.442,0.319,38.36,0.151,1.36,4.45,3.272,3D,[1.4-1.5),[0.3-0.4),[0-50),[0.1-0.2),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NENYAJ
JEMNOH,2017,2.684,0.245,41.84,0.07,1.37,4.46,3.255,2D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEMNOH
LEDREU,2017,1.201,0.31,306.6,0.19,1.38,5.53,4.007,2D,[1.2-1.3),[0.3-0.4),[300-400),[0.1-0.2),[0.7-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEDREU
CAWTEC,2017,1.357,0.179,83.85,0.096,1.43,4.67,3.266,2D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAWTEC
FALDAA,2017,1.263,0.263,67.23,0.152,1.43,4.69,3.28,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[4.6-4.8),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FALDAA
JEHHIQ,2017,1.282,0.216,4.43,0.116,1.44,4.09,2.84,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEHHIQ
DAZHAQ,2017,1.223,0.161,6.42,0.107,1.45,4.11,2.834,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAZHAQ
KAPVOP01,2017,1.311,0.107,4.51,0.054,1.45,4.11,2.834,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAPVOP01
KAPVOP,2017,1.311,0.107,4.51,0.053,1.45,4.09,2.821,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAPVOP
OCUGUR,2017,1.517,0.108,0.53,0.043,1.46,4.12,2.822,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OCUGUR
RAHDIQ,2017,1.38,0.199,2.9,0.089,1.46,4.13,2.829,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RAHDIQ
ZAKMAC,2017,2.5,0.072,0.08,0.01,1.46,4.12,2.822,1D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAKMAC
NESVIT,2017,1.202,0.331,125.68,0.203,1.47,4.8,3.265,2D,[1.2-1.3),[0.3-0.4),[100-150),[0.2-0.3),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NESVIT
BAKNIN,2017,1.261,0.111,6.29,0.064,1.49,4.22,2.832,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAKNIN
WARFED,2017,1.486,0.13,5.06,0.051,1.5,4.25,2.833,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WARFED
SEQGUT,2017,1.242,0.235,69.98,0.142,1.51,4.94,3.272,3D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEQGUT
KALWIG,2017,1.613,0.113,23.43,0.05,1.53,4.33,2.83,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KALWIG
NAVBAQ,2017,1.07,0.192,25.01,0.116,1.55,4.37,2.819,1D,[1.0-1.1),[0.1-0.2),[0-50),[0.1-0.2),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAVBAQ
NAVKED,2017,1.536,0.207,23.64,0.095,1.55,4.4,2.839,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.0-0.1),[1.4-1.6),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAVKED
TETPOA,2017,1.265,0.209,19.29,0.097,1.55,4.39,2.832,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.0-0.1),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TETPOA
LEMQOM,2017,1.25,0.288,195.56,0.162,1.55,5.06,3.265,1D,[1.2-1.3),[0.2-0.3),[150-200),[0.1-0.2),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEMQOM
CATMIW,2017,1.799,0.153,44.95,0.072,1.57,5.11,3.255,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CATMIW
KELFIT,2017,1.79,0.228,115.02,0.102,1.57,6.28,4,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[6.0-6.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KELFIT
ADETIP,2017,1.415,0.223,46.67,0.108,1.59,4.5,2.83,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.4-1.6),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADETIP
YATXUP,2017,1.716,0.161,11.7,0.076,1.59,4.51,2.836,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.4-1.6),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YATXUP
PAWXIX,2017,1.236,0.235,109.82,0.138,1.59,6.35,3.994,3D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[6.0-6.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAWXIX
ZEKGEE,2017,1.201,0.37,222.89,0.21,1.59,5.19,3.264,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZEKGEE
MAXWOA,2017,1.39,0.171,0.57,0.064,1.6,4.04,2.525,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAXWOA
LATQOP,2017,1.472,0.29,174.23,0.136,1.6,4.53,2.831,2D,[1.4-1.5),[0.2-0.3),[150-200),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LATQOP
SEKQIL,2017,1.853,0.182,0.52,0.071,1.62,4.1,2.531,2D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEKQIL
VASYEW,2017,1.227,0.388,343.01,0.234,1.62,5.29,3.265,3D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[1.6-2.2),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASYEW
CAWVII,2017,1.667,0.201,26.44,0.08,1.64,4.63,2.823,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAWVII
SAQREK,2017,3.551,0.079,4.98,0.017,1.65,4.66,2.824,1D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAQREK
VANHAW,2017,1.335,0.225,222.1,0.125,1.65,5.91,3.582,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[1.6-2.2),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANHAW
FASHAL,2017,1.891,0.091,6.06,0.037,1.66,4.2,2.53,1D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FASHAL
KATMAW,2017,3.318,0.044,1.45,0.011,1.66,4.2,2.53,1D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KATMAW
KAXJUR,2017,1.339,0.342,3.26,0.174,1.66,4.21,2.536,1D,[1.3-1.4),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAXJUR
ZAWHOX,2017,1.144,0.155,64.32,0.107,1.66,4.69,2.825,1D,[1.1-1.2),[0.1-0.2),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZAWHOX
NEFZOQ,2017,1.061,0.204,18.9,0.12,1.7,4.31,2.535,2D,[1.0-1.1),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NEFZOQ
LEVTOY,2017,1.22,0.288,112.75,0.154,1.73,4.89,2.827,2D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEVTOY
GAPLOB,2017,1.148,0.192,47.24,0.11,1.74,4.41,2.534,1D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GAPLOB
YAQJOS,2017,1.144,0.223,33.19,0.126,1.74,4.4,2.529,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAQJOS
KELFEP,2017,1.758,0.233,143.85,0.108,1.74,6.22,3.575,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[6.0-6.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KELFEP
GAPMOC,2017,1.975,0.187,1.02,0.069,1.76,4.06,2.307,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GAPMOC
HEJTUO,2017,1.522,0.254,93.42,0.145,1.76,4.46,2.534,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEJTUO
BEDCOF,2017,1.236,0.203,0.54,0.129,1.78,4.12,2.315,3D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEDCOF
ZATNOA,2017,1.993,0.176,25.26,0.061,1.78,4.51,2.534,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZATNOA
ZEBWAH,2017,1.598,0.194,0.76,0.099,1.78,4.12,2.315,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ZEBWAH
KAYKAZ,2017,1.381,0.203,0.8,0.098,1.8,4.15,2.306,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAYKAZ
VARVIW,2017,1.134,0.224,124.62,0.134,1.8,5.1,2.833,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARVIW
KELFOZ,2017,1.773,0.238,150.94,0.109,1.8,6.42,3.567,1D,[1.6-1.8),[0.2-0.3),[150-200),[0.1-0.2),[1.6-2.2),[6.0-6.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KELFOZ
BAMYAS,2017,2.152,0.199,5.59,0.073,1.84,4.24,2.304,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAMYAS
SAXGUW,2017,1.32,0.164,4.25,0.074,1.87,4.31,2.305,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAXGUW
WECYEL,2017,1.212,0.348,267.47,0.217,1.87,5.28,2.824,1D,[1.2-1.3),[0.3-0.4),[200-300),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WECYEL
VARFEC,2017,1.259,0.186,25.47,0.087,1.89,4.37,2.312,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARFEC
GEMLES,2017,0.976,0.353,416.55,0.299,1.9,5.36,2.821,1D,[0.8-1.0),[0.3-0.4),[400-500),[0.2-0.3),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEMLES
RARNIK,2017,1.443,0.241,1.95,0.116,1.91,4.08,2.136,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RARNIK
PEDCAF,2017,1.632,0.214,116.94,0.104,1.91,4.84,2.534,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEDCAF
LAVZIU,2017,2.422,0.322,220.65,0.111,1.91,6.25,3.272,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[1.6-2.2),[6.0-6.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAVZIU
VARVOC,2017,1.155,0.276,47.68,0.157,1.92,4.43,2.307,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VARVOC
PEDBUY,2017,1.582,0.212,124.45,0.105,1.92,4.86,2.531,1D,[1.5-1.6),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEDBUY
OCIBIO,2017,1.207,0.304,89.77,0.177,1.92,4.87,2.536,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OCIBIO
PEDBEI,2017,1.515,0.21,122.95,0.113,1.93,4.88,2.528,1D,[1.5-1.6),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEDBEI
PEDBIM,2017,1.53,0.213,127.77,0.112,1.93,4.88,2.528,1D,[1.5-1.6),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEDBIM
PEDBOS,2017,1.552,0.213,124.26,0.11,1.93,4.89,2.534,1D,[1.5-1.6),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEDBOS
VASYAS,2017,1.34,0.4,380.15,0.224,1.93,5.47,2.834,2D,[1.3-1.4),[0.3-0.4),[300-400),[0.2-0.3),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASYAS
FEPBOU,2017,1.21,0.327,100.18,0.18,1.94,4.9,2.526,1D,[1.2-1.3),[0.3-0.4),[100-150),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEPBOU
ADETUB,2017,1.074,0.241,30.17,0.144,1.96,4.52,2.306,1D,[1.0-1.1),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ADETUB
LEVTOY01,2017,1.179,0.292,236.47,0.172,1.96,5.55,2.832,1D,[1.1-1.2),[0.2-0.3),[200-300),[0.1-0.2),[1.6-2.2),[5.3-5.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEVTOY01
TALXIQ,2017,1.253,0.175,5,0.088,1.97,4.22,2.142,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TALXIQ
XEFGEU01,2017,1.241,0.21,14.43,0.129,1.97,4.54,2.305,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=XEFGEU01
