Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
AGONEQ,1.082,0.651371,1562.22,0.537,5.59,6.09,1.089445438,1D
AGOPER,0.884,0.454517,278.32,0.351,2.88,5.43,1.885416667,1D
AGOPUI,1.942,0.165371,76.6,0.078,4.11,4.96,1.206812652,1D
AGOVID,0.642,0.817292,2868.49,1.098,8.2,12.34,1.504878049,3D
AGOWAW,0.746,0.769381,2111.6,0.876,7.99,13.05,1.633291615,2D
AGOWEA,1.19,0.64876,825.05,0.418,4.3,8.22,1.911627907,3D
AGOWIE,1.257,0.270198,9.16,0.134,2.23,4.21,1.887892377,1D
AGOWIF,0.725,0.542414,2050.61,0.706,7.15,8.35,1.167832168,2D
AGOXAV,1.08,0.201003,106.65,0.129,1.23,4.91,3.991869919,3D
AGOXOK,2.032,0.181726,15.93,0.08,1.33,4.34,3.263157895,2D
AGOZED,1.643,0.206258,69.17,0.087,2.05,4.74,2.312195122,1D
AGUDUB,1.208,0.077268,27.44,0.046,1.16,4.62,3.982758621,2D
AGUPIC,1.468,0.100787,5.58,0.05,1.08,4.32,4,3D
AGUTEC,1.008,0.41775,306.07,0.38,3.33,5.44,1.633633634,1D
AGUVII,1.032,0.388804,189.63,0.333,2.61,4.92,1.885057471,1D
AHAFEV,1.235,0.272691,266.66,0.163,1.91,5.77,3.020942408,1D
AHAMAY,2.336,0.200616,12.87,0.066,3.38,4.28,1.266272189,1D
AHAYUF,1.224,0.359736,605.18,0.249,4.4,6.03,1.370454545,3D
AHEHAY,1.625,0.408887,161.71,0.232,3.43,4.7,1.370262391,2D
AHEHEC,1.641,0.408007,160.24,0.226,3.45,4.74,1.373913043,1D
AHEKED,1.708,0.424047,36.72,0.209,3.34,4.22,1.263473054,1D
AHENOS,1.353,0.15059,56.12,0.073,1.74,4.93,2.833333333,1D
AHINIP,1.255,0.192738,49.01,0.092,2.1,4.85,2.30952381,1D
AHIPEN,1.431,0.351187,569.64,0.231,5.92,9.11,1.538851351,1D
AHOBEG,1.421,0.232919,25.36,0.117,1.88,4.33,2.303191489,1D
AHOLAK01,0.834,0.583174,1362.39,0.64,3.58,6.24,1.74301676,2D
AHOMOB01,1.268,0.386454,171.92,0.244,3.52,4.83,1.372159091,1D
AHORUL,1.596,0.116197,112.69,0.054,6.53,6.74,1.032159265,1D
AHOSEV,0.94,0.58808,1793.47,0.589,6.36,7.05,1.108490566,1D
AHOSUL,0.962,0.58027,1698.85,0.573,6.01,7.17,1.193011647,2D
AHOZIG,1.317,0.234516,95.59,0.134,1.49,4.88,3.275167785,1D
AHOZII,0.951,0.530862,943.13,0.483,5.85,6.89,1.177777778,1D
AHUNEW,1.347,0.206281,10.77,0.097,2.08,4.44,2.134615385,1D
AHUPEA,1.266,0.173767,8.6,0.082,1.84,4.24,2.304347826,3D
AHUPIE,1.2,0.229512,3.18,0.129,2.59,4.07,1.571428571,3D
AHUWIK,1.577,0.08319,7.58,0.038,0.75,4.27,5.693333333,NON-POROUS
AJABIX01,1.171,0.332491,460.63,0.244,1.5,6.93,4.62,1D
AJABIX,1.188,0.320254,420.43,0.233,1.18,6.65,5.63559322,1D
AJABOD,1.183,0.322551,432.49,0.235,1.46,6.72,4.602739726,1D
AJABUJ01,1.142,0.189402,12.34,0.11,2.1,4.21,2.004761905,1D
AJABUJ,1.097,0.234969,85.12,0.155,1.9,4.8,2.526315789,1D
AJAGOI,2.126,0.320219,326.16,0.133,6.25,6.93,1.1088,1D
AJAHEZ,2.47,0.250642,26.71,0.082,1.75,4.42,2.525714286,1D
AJAXAM,0.86,0.44962,459.76,0.452,2.75,4.92,1.789090909,1D
AJECUO,1.613,0.21523,51.29,0.106,2.6,4.43,1.703846154,1D
AJEKIL,1.37,0.156914,34.94,0.07,0.82,4.64,5.658536585,NON-POROUS
AJESUD,1.243,0.377964,253.65,0.235,2.12,4.89,2.306603774,1D
AJIHOQ,1.301,0.463176,595.35,0.294,6.39,7.09,1.109546166,1D
AJIJIN,0.826,0.515227,1592.05,0.674,4.48,5.18,1.15625,2D
AJIMEN,1.427,0.417451,159.13,0.245,3.16,4.77,1.509493671,2D
AJIROB,1.364,0.226644,15.48,0.114,1.99,4.25,2.135678392,1D
AJODOT,1.441,0.240269,285.85,0.128,4.98,5.75,1.154618474,1D
AJOHOY,1.235,0.250472,302.48,0.156,2.77,6.67,2.407942238,1D
AJOTOK,1.375,0.509017,386.15,0.339,3.59,4.79,1.334261838,1D
AJOVEB,2.006,0.146809,24.19,0.061,4.04,4.99,1.235148515,1D
AJUFUI,1.363,0.268626,136.42,0.156,1.67,4.73,2.832335329,1D
AJUNOK,1.437,0.280048,90.08,0.142,2.68,4.8,1.791044776,1D
AKAXIU,1.341,0.476471,739.35,0.304,8.94,9.43,1.054809843,1D
AKAXOA,1.32,0.485735,757.42,0.318,9.43,9.99,1.059384942,1D
AKAXUG,1.356,0.471226,730.41,0.299,8.68,9.32,1.073732719,1D
AKAYAN,1.42,0.438526,687.72,0.265,7.31,7.88,1.077975376,1D
AKAYER,1.312,0.478837,766.97,0.315,8.88,9.37,1.05518018,1D
AKEBAV,1.264,0.25591,61.21,0.159,1.15,4.59,3.991304348,3D
AKECEA,1.322,0.348879,77.7,0.215,3.31,4.41,1.332326284,1D
AKECIE,1.23,0.400607,353.28,0.258,3.21,5.25,1.635514019,2D
AKEDAX,1.007,0.380572,23.06,0.289,3,4.39,1.463333333,2D
AKICUT01,0.927,0.510926,1710.11,0.535,6.45,7.37,1.142635659,1D
AKIMIS,0.804,0.604676,1806.46,0.671,7.12,7.97,1.119382022,1D
AKINAK,2.367,0.166755,11.16,0.059,1.77,4.48,2.531073446,1D
AKIQUG,0.816,0.558306,1554.1,0.667,9.8,10.08,1.028571429,1D
AKITUL,1.056,0.466235,205.14,0.354,3.61,4.56,1.263157895,1D
AKIYOI,0.963,0.620615,2077.39,0.626,4.95,5.84,1.17979798,2D
AKIYOK,1.216,0.220178,33.36,0.111,2.73,4.45,1.63003663,1D
AKIYUQ,1.303,0.214015,39.05,0.111,2.92,4.41,1.510273973,1D
AKIZEZ,0.841,0.645834,1574.57,0.746,4.47,5.65,1.263982103,1D
AKIZUR,1.125,0.294537,8.99,0.201,2.91,4.12,1.41580756,1D
AKOBAF,1.195,0.29606,62.64,0.192,3.26,4.47,1.371165644,3D
AKUJOH,1.156,0.378833,61.57,0.236,2.93,4.43,1.511945392,1D
AKUMIE,0.793,0.662146,1239.38,0.695,4.25,5.02,1.181176471,1D
AKURIH01,0.667,0.676269,2839.29,0.918,7.99,8.86,1.108886108,1D
ALATIR,1.595,0.216174,78.25,0.108,1.24,4.96,4,2D
ALATOX,1.618,0.186481,31.96,0.095,1.42,4.63,3.26056338,1D
ALECUP,1.216,0.434523,465.48,0.375,3.67,5.03,1.370572207,1D
ALEQEP,0.731,0.637978,2117.75,0.741,6.36,7.58,1.191823899,1D
ALESAN,0.751,0.633798,2005.8,0.718,5.89,7.45,1.264855688,1D
ALEZEY,1.499,0.08579,2.16,0.035,2.88,4.2,1.458333333,1D
ALIFOS,1.409,0.252238,56.79,0.125,2.67,4.56,1.707865169,1D
ALIFUY,1.381,0.225565,12.04,0.116,2.42,4.32,1.785123967,2D
ALIHEJ,1.034,0.221585,0.1,0.132,2.05,4.1,2,1D
ALIHUY,1.52,0.239682,89.45,0.114,1.61,4.57,2.838509317,1D
ALIJUB,0.919,0.272584,144.05,0.238,2.69,4.38,1.628252788,1D
ALIWEX,2.3,0.270012,42.61,0.089,2.73,4.65,1.703296703,2D
ALOLES,2.08,0.410734,208.11,0.164,3.42,5.17,1.511695906,2D
ALONOE,1.499,0.272287,71.08,0.136,2.89,4.72,1.633217993,1D
ALTRMN,1.02,0.296251,10.06,0.271,3.07,4.21,1.371335505,1D
ALUKIC,0.73,0.703166,2953.25,0.866,4.58,6.37,1.390829694,1D
ALUKOI,0.743,0.70224,2892.67,0.851,4.56,6.35,1.39254386,1D
ALUKUO,0.746,0.703308,2837.79,0.847,4.64,6.37,1.372844828,1D
ALULAV,0.755,0.704111,2801.53,0.832,4.57,6.36,1.391684902,1D
ALURAB,1.051,0.434941,558.42,0.321,3.47,6.74,1.942363112,1D
ALUREF,1.053,0.435477,555.43,0.315,3.46,6.71,1.939306358,1D
AMAGOL,0.51,0.779341,4942.18,1.565,8.71,9.67,1.11021814,1D
AMAPIN,1.195,0.336543,181.87,0.204,3.15,4.94,1.568253968,1D
AMAPUZ,0.94,0.458001,721.39,0.421,4.35,5.37,1.234482759,1D
AMAQAG02,1.174,0.273303,67.41,0.181,1.69,4.29,2.538461538,1D
AMAQAG,1.174,0.272125,67.18,0.177,1.7,4.3,2.529411765,1D
AMAQEK,1.255,0.292071,107.43,0.178,2.96,4.48,1.513513514,1D
AMEQUF,1.198,0.250176,0.06,0.135,2.93,4.02,1.372013652,1D
AMILOY,1.059,0.459139,821.88,0.35,9,10.67,1.185555556,1D
AMILUE,1.033,0.469717,858.77,0.371,10.79,11.19,1.037071362,1D
AMIMAL,1.04,0.463582,863.36,0.362,9.26,10.81,1.167386609,1D
AMIMAM,1.251,0.247377,2.8,0.165,1.46,4.14,2.835616438,3D
AMINUF,1.358,0.383814,335.04,0.215,2.95,5.57,1.888135593,1D
AMIYIF,1.347,0.456215,164.97,0.296,3.65,5.33,1.460273973,1D
AMOCAH,1.674,0.470621,375.23,0.274,3.78,5.19,1.373015873,1D
AMOFAK,0.74,0.697311,2508.86,0.834,4.37,6.6,1.510297483,1D
AMOYOR,1.169,0.291604,154.6,0.179,3.79,4.57,1.205804749,1D
AMUBIU,1.502,0.176045,141.96,0.084,3.31,6.63,2.003021148,1D
AMUBOA,0.767,0.656571,1443.57,0.808,4.72,6.21,1.315677966,1D
AMUCAN,1.377,0.211449,249.46,0.124,2.7,5.4,2,1D
AMULOK,1.273,0.317479,53.32,0.175,2.81,4.41,1.569395018,1D
AMULUQ,1.232,0.365901,109.22,0.205,2.91,4.97,1.70790378,1D
AMUMEB,1.24,0.362123,103.16,0.203,2.93,4.78,1.631399317,1D
AMUPOP,1.302,0.228292,23.1,0.125,3.51,4.44,1.264957265,1D
AMUQEG,1.069,0.431816,494.4,0.321,2.39,6.36,2.661087866,1D
AMURUX,1.254,0.238322,4.33,0.196,1.93,4.13,2.139896373,1D
AMUSOR,1.233,0.273759,49.14,0.164,2.29,4.57,1.995633188,1D
AMUWIP,0.55,0.847286,4526.06,1.444,8.41,11.29,1.342449465,1D
AMUXIR,1.017,0.433694,733.9,0.338,3.99,5.32,1.333333333,1D
AMUYAK,0.63,0.716032,2549.73,0.985,6.25,7,1.12,2D
AMUYEO,0.712,0.591194,1006.82,0.782,3.13,4.9,1.565495208,2D
ANAGIH,1.184,0.512146,627.51,0.353,4.62,5.85,1.266233766,1D
ANAGUS,1.37,0.246502,33.9,0.116,2.73,4.47,1.637362637,1D
ANAHED,1.873,0.314058,250.09,0.164,3.65,5.96,1.632876712,1D
ANAWIX,1.603,0.409178,300.43,0.216,3.95,4.99,1.263291139,1D
ANAWOD,1.438,0.575983,825.23,0.32,5.83,6.81,1.168096055,1D
ANEFIK,0.775,0.719219,2993.26,0.939,6.46,7.97,1.23374613,1D
ANEHOS,1.451,0.279185,69.47,0.135,2.79,4.56,1.634408602,2D
ANEQEQ,0.496,0.813309,6115.86,1.594,6.06,7.48,1.234323432,1D
ANEQIU,1.045,0.486274,299.74,0.374,2.8,5.27,1.882142857,2D
