,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
3012,SOCPUW,2008,0.515,0.778569,4153.33,4119,1.421,1.417,8.45,9.81,1.160946746,2D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOCPUW
3013,SOCVIQ,2008,1.107,0.29642,13.15,0,0.197,0,3.16,4.21,1.332278481,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOCVIQ
3014,SOCVUC,2008,1.46,0.147056,0.64,0,0.056,0,1.45,4.11,2.834482759,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOCVUC
3015,SODZIV,2008,1.374,0.320354,346.37,328.25,0.186,0.183,3.95,5.77,1.460759494,1D,[1.3 - 1.4),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SODZIV
3016,TIKXAN,2008,0.921,0.802762,2295.68,2286.6,0.712,0.714,5.34,6.1,1.142322097,3D,[0.8 - 1.0),[0.8 - 0.9),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIKXAN
3017,TILKUV,2008,1.46,0.181172,1.11,0,0.093,0,1.24,4.06,3.274193548,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TILKUV
3018,TILLUW,2008,1.434,0.200612,1.85,0,0.097,0,1.79,4.13,2.30726257,3D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TILLUW
3019,TIMBIB,2008,2.439,0.454795,308.78,300.3,0.215,0.214,3.61,5.28,1.462603878,1D,[2.0 - 7.0],[0.4 - 0.5),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIMBIB
3020,TIMBOH,2008,1.229,0.371196,330.61,0,0.234,0,2.66,6.14,2.308270677,3D,[1.2 - 1.3),[0.3 - 0.4),[300 - 400),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIMBOH
3021,TINCOJ,2008,1.338,0.202274,191.94,193.93,0.126,0.124,4.36,5.81,1.332568807,1D,[1.3 - 1.4),[0.2 - 0.3),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TINCOJ
3022,TINROY,2008,1.022,0.55677,467.97,460.97,0.451,0.423,3.78,4.78,1.264550265,1D,[1.0 - 1.1),[0.5 - 0.6),[400 - 500),[400-500),[0.4 - 0.5),[0.4-0.5),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TINROY
3023,TINTEQ,2008,0.997,0.599031,107.03,110.48,0.556,0.555,3.38,4.28,1.266272189,1D,[0.8 - 1.0),[0.5 - 0.6),[100 - 150),[100-200),[0.5 - 0.6),[0.5-0.6),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TINTEQ
3024,TIPKAF,2008,1.338,0.177781,137.38,0,0.104,0,3.17,5.41,1.706624606,1D,[1.3 - 1.4),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIPKAF
3025,TIQBEB,2008,1.088,0.285875,114.06,0,0.204,0,2.68,4.58,1.708955224,1D,[1.0 - 1.1),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIQBEB
3026,TIRLIQ,2008,1.344,0.30534,132.33,130.82,0.182,0.178,3.74,4.99,1.334224599,1D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIRLIQ
3027,TISHAF,2008,0.905,0.577186,941.35,939.65,0.52,0.517,3.49,10.55,3.022922636,1D,[0.8 - 1.0),[0.5 - 0.6),[800 - 1000),[800-1000),[0.5 - 0.6),[0.5-0.6),[3.3-3.6),[8.0-72.0],[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TISHAF
3028,TISKOW,2008,1.667,0.221712,95.59,0,0.115,0,2.38,5.73,2.407563025,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TISKOW
3029,TISPIV,2008,1.25,0.180861,56.46,0,0.098,0,1.88,4.77,2.537234043,1D,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TISPIV
3030,TIVLEQ,2008,2.732,0.089968,2.11,0,0.036,0,0.74,4.18,5.648648649,NON-POROUS,[2.0 - 7.0],[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.74,[4.0-4.2),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIVLEQ
3031,TIVLIU,2008,2.885,0.269858,8.89,0,0.081,0,2.9,4.23,1.45862069,1D,[2.0 - 7.0],[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIVLIU
3032,TIVTAU,2008,0.898,0.502239,521.1,513.56,0.545,0.539,3.97,5.03,1.267002519,1D,[0.8 - 1.0),[0.5 - 0.6),[500 - 600),[500-600),[0.5 - 0.6),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIVTAU
3033,TIVXAY,2008,1.257,0.132953,42.89,0,0.066,0,1.25,4.98,3.984,2D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TIVXAY
