,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
78,SIZWAZ,1991,1.203,0.366029,299.12,0,0.249,0,3.14,5.13,1.633757962,1D,[1.2 - 1.3),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZWAZ
79,SOBGIZ,1991,1.188,0.327223,155.16,0,0.215,0,2.72,4.63,1.702205882,2D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOBGIZ
80,TAGPIA,1991,0.871,0.488997,937.32,893.15,0.45,0.445,4.1,5.79,1.412195122,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TAGPIA
81,VIDMOK,1991,0.66,0.634718,2459.44,2474.69,0.862,0.862,4.75,6.16,1.296842105,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIDMOK
82,VILDUP,1991,1.8,0.425698,133.79,133.08,0.287,0.283,3.57,4.64,1.299719888,2D,[1.8 - 2.0),[0.4 - 0.5),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VILDUP
83,VIVFUB,1991,1.442,0.235787,53.1,0,0.132,0,1.85,4.69,2.535135135,2D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVFUB
84,VIVGAI,1991,1.656,0.182591,20.72,0,0.088,0,1.87,4.32,2.310160428,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VIVGAI
85,ACUFUR01,1992,1.146,0.324337,102.97,0,0.344,0,2.89,4.36,1.508650519,2D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR01
86,JISDOE,1992,1.05,0.346987,364.26,358.14,0.249,0.23,3.85,5.14,1.335064935,1D,[1.0 - 1.1),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JISDOE
87,JOFZIN,1992,1.537,0.249076,2.13,0,0.115,0,2.59,4.07,1.571428571,1D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOFZIN
88,JOGBAI,1992,1.364,0.278154,13.18,0,0.192,0,3.06,4.33,1.41503268,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOGBAI
89,JORRUD,1992,0.467,0.595385,3291.79,3347.91,1.407,1.386,4.64,5.79,1.247844828,1D,[0.0 - 0.6),[0.5 - 0.6),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JORRUD
90,KOLFUM,1992,1.153,0.297812,16.61,0,0.195,0,2.1,4.2,2,2D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOLFUM
91,KORLAE,1992,0.35,0.753867,9996.08,10186.57,2.255,2.249,5.11,6.55,1.281800391,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KORLAE
92,KOSFIH,1992,1.721,0.184619,51.2,0,0.098,0,1.1,4.39,3.990909091,1D,[1.6 - 1.8),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOSFIH
93,KOWKUC,1992,0.93,0.201859,183.46,0,0.161,0,1.29,5.15,3.992248062,3D,[0.8 - 1.0),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KOWKUC
94,SOFCEV,1992,1.186,0.218514,55.93,0,0.145,0,1.67,4.72,2.826347305,2D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOFCEV
95,SOJGUT,1992,1.205,0.277542,10.59,0,0.175,0,1.78,4.1,2.303370787,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJGUT
96,SOJTOA,1992,1.485,0.248296,258.17,258.57,0.141,0.14,4.58,5.4,1.179039301,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOJTOA
97,SOZSUV,1992,1.162,0.224763,124.21,0,0.159,0,2.02,5.12,2.534653465,1D,[1.1 - 1.2),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOZSUV
98,SUDBOI,1992,1.074,0.571117,1098.21,1068.9,0.468,0.471,5.79,6.49,1.1208981,1D,[1.0 - 1.1),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUDBOI
99,VAWXAS01,1992,0.904,0.608784,1718.26,1734.66,0.619,0.617,5.29,6.7,1.266540643,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VAWXAS01
100,VOPLIV,1992,1.029,0.234005,103.55,0,0.17,0,1.52,4.98,3.276315789,3D,[1.0 - 1.1),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOPLIV
101,JOWJEK,1993,1.172,0.22424,4.06,0,0.133,0,1.47,4.16,2.829931973,3D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JOWJEK
102,JUBHIX,1993,0.749,0.602388,1792.21,1754.72,0.729,0.727,8.14,9.66,1.186732187,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JUBHIX
103,JULDAV,1993,0.726,0.569422,1954.36,1990.21,0.741,0.732,4.31,5.45,1.26450116,2D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JULDAV
104,KUDJOI,1993,0.998,0.417465,846.1,815.93,0.375,0.373,3.98,6.37,1.600502513,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KUDJOI
105,PANVOP,1993,0.764,0.604344,1274.66,1275.21,0.717,0.711,11.93,12.45,1.043587594,1D,[0.6 - 0.8),[0.6 - 0.7),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PANVOP
106,PEFVIF,1993,1.46,0.303879,209.05,0,0.21,0,2.72,6.04,2.220588235,3D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PEFVIF
107,SOWYEI,1993,1.279,0.136578,57.22,0,0.08,0,1.14,4.54,3.98245614,2D,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOWYEI
108,SOWYOS,1993,1.125,0.1487,91.28,0,0.099,0,0.89,5.06,5.685393258,NON-POROUS,[1.1 - 1.2),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.89,[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SOWYOS
109,WABMET,1993,0.823,0.495024,1705.07,1517.75,0.567,0.524,6.23,6.91,1.109149278,1D,[0.8 - 1.0),[0.4 - 0.5),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WABMET
110,WACRIB,1993,1.176,0.26435,71.57,0,0.167,0,1.97,4.55,2.30964467,2D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WACRIB
111,YAGJIZ,1993,1.078,0.322093,64.36,0,0.221,0,2.68,4.57,1.705223881,1D,[1.0 - 1.1),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAGJIZ
112,HAHPAH,1994,1.322,0.075743,35.8,0,0.04,0,0.88,4.97,5.647727273,NON-POROUS,[1.3 - 1.4),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.88,[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAHPAH
113,HAHWAO,1994,1.284,0.425065,453.87,465.25,0.319,0.317,4.13,4.98,1.205811138,1D,[1.2 - 1.3),[0.4 - 0.5),[400 - 500),[400-500),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAHWAO
114,HAKZOI,1994,1.509,0.177027,5.92,0,0.09,0,1.52,4.3,2.828947368,2D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAKZOI
115,HALFAB,1994,1.275,0.251051,24.39,22.46,0.18,0.176,3.44,4.24,1.23255814,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HALFAB
116,HAMSAP,1994,1.431,0.15522,73.13,0,0.07,0,1.7,5.54,3.258823529,1D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[5.3-5.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAMSAP
117,HATHUF,1994,1.078,0.414648,648.92,589.19,0.327,0.294,4.2,6.13,1.45952381,1D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[500-600),[0.3 - 0.4),[0.2-0.3),[4.0-4.5),[6.0-6.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HATHUF
118,HAYPIG,1994,1.468,0.356874,0.36,0,0.192,0,2.6,4.08,1.569230769,1D,[1.4 - 1.5),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HAYPIG
119,HECYUJ,1994,1.217,0.27973,62.7,0,0.188,0,1.61,4.55,2.826086957,2D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HECYUJ
120,LAYRIM,1994,0.927,0.556487,724.55,632.5,0.475,0.43,3.71,5.09,1.371967655,1D,[0.8 - 1.0),[0.5 - 0.6),[600 - 800),[600-800),[0.4 - 0.5),[0.4-0.5),[3.6-3.8),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAYRIM
121,PETDIB,1994,1.318,0.21506,70.66,0,0.144,0,2.08,4.46,2.144230769,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PETDIB
122,VOPLIV01,1994,1.03,0.236441,106.56,0,0.166,0,1.52,4.95,3.256578947,2D,[1.0 - 1.1),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VOPLIV01
123,VORNAR20,1994,0.311,0.826651,4789.16,4762.84,2.766,2.767,11.84,12.52,1.057432432,1D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VORNAR20
124,WAMRIL,1994,0.714,0.624711,591.48,597.87,0.803,0.773,3.89,5.19,1.334190231,1D,[0.6 - 0.8),[0.6 - 0.7),[500 - 600),[500-600),[0.8 - 1.0),[0.6-0.8),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAMRIL
125,WAMROR,1994,0.715,0.640289,722.46,719.95,0.811,0.774,3.88,5.49,1.414948454,1D,[0.6 - 0.8),[0.6 - 0.7),[600 - 800),[600-800),[0.8 - 1.0),[0.6-0.8),[3.8-4.0),[5.3-5.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WAMROR
126,WEFSEF,1994,1.638,0.119593,15.05,0,0.052,0,1.39,4.55,3.273381295,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEFSEF
127,WEGJUN,1994,1.287,0.232313,101.38,0,0.139,0,2.33,4.66,2,1D,[1.2 - 1.3),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEGJUN
128,WEJXOY,1994,1.018,0.184669,195.1,203.52,0.142,0.142,4.13,4.77,1.15496368,1D,[1.0 - 1.1),[0.1 - 0.2),[150 - 200),[200-300),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEJXOY
129,WERCAX,1994,0.899,0.404539,1035.79,1037.24,0.4,0.398,4.99,6.39,1.280561122,1D,[0.8 - 1.0),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.3-0.4),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WERCAX
130,YAPPAG,1994,0.684,0.730296,3243.23,3239,1.091,1.088,7.05,9.46,1.341843972,3D,[0.6 - 0.8),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YAPPAG
131,YARYOF,1994,1.225,0.427867,117.62,0,0.403,0,3.15,4.6,1.46031746,1D,[1.2 - 1.3),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YARYOF
132,YECFAN,1994,1.039,0.495259,400.21,396.94,0.403,0.404,3.87,4.78,1.235142119,2D,[1.0 - 1.1),[0.4 - 0.5),[400 - 500),[300-400),[0.4 - 0.5),[0.4-0.5),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YECFAN
133,HENVUR,1995,0.885,0.516555,1007.63,994.61,0.517,0.509,4.14,6.37,1.538647343,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[800-1000),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HENVUR
134,HESJOE,1995,0.516,0.799344,6236.96,6227,1.538,1.535,6.02,6.81,1.131229236,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.5 - 2.0),[1.5-2.0),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HESJOE
135,HESJUK,1995,0.871,0.606111,191.96,158.81,0.673,0.581,3.47,4.63,1.334293948,1D,[0.8 - 1.0),[0.6 - 0.7),[150 - 200),[100-200),[0.6 - 0.8),[0.5-0.6),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HESJUK
136,HEYTIO,1995,0.657,0.733803,3400.17,3411.71,1.141,1.144,7.11,9.69,1.362869198,3D,[0.6 - 0.8),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEYTIO
137,HEYTOU,1995,0.611,0.731933,3631.79,3685.7,1.222,1.229,7.1,9.47,1.333802817,2D,[0.6 - 0.8),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEYTOU
138,HEYTUA,1995,0.603,0.728958,3702.97,3703.14,1.228,1.23,7.02,9.3,1.324786325,3D,[0.6 - 0.8),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=HEYTUA
139,LETVUB,1995,1.176,0.228603,45.41,0,0.133,0,2.76,4.71,1.706521739,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETVUB
140,LEYMIL,1995,1.387,0.334115,125.38,0,0.201,0,3.15,4.94,1.568253968,1D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEYMIL
141,LEYNAE,1995,1.286,0.296638,26.28,0,0.171,0,1.87,4.31,2.304812834,2D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEYNAE
142,PIWWAT,1995,1.444,0.222745,122.63,0,0.152,0,3.22,6.07,1.885093168,2D,[1.4 - 1.5),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[6.0-6.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PIWWAT
143,POBWIM,1995,0.684,0.663727,2924.68,2936.91,0.904,0.905,6.91,8.07,1.167872648,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=POBWIM
144,PODFOD,1995,1.575,0.149251,14.25,0,0.068,0,1.35,4.41,3.266666667,2D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PODFOD
145,SAHKUH10,1995,0.816,0.614545,2215.36,2258.66,0.666,0.655,5.5,7.24,1.316363636,2D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAHKUH10
146,WEMPAF,1995,0.902,0.506699,554.36,550.14,0.496,0.417,3.69,5.78,1.566395664,1D,[0.8 - 1.0),[0.5 - 0.6),[500 - 600),[500-600),[0.4 - 0.5),[0.4-0.5),[3.6-3.8),[5.6-6.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WEMPAF
147,WETRIW,1995,0.784,0.690775,2556.5,2549.02,0.901,0.901,5.82,8.57,1.472508591,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WETRIW
148,WIDVUA,1995,1.515,0.343009,133.33,128.88,0.216,0.217,4.08,4.61,1.129901961,1D,[1.5 - 1.6),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[4.0-4.5),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WIDVUA
149,WINGEF,1995,0.935,0.491511,780.23,736.16,0.503,0.465,3.52,6.46,1.835227273,2D,[0.8 - 1.0),[0.4 - 0.5),[600 - 800),[600-800),[0.5 - 0.6),[0.4-0.5),[3.3-3.6),[6.0-6.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WINGEF
150,WINGUV,1995,0.704,0.679442,2341.36,2356.12,0.86,0.854,5.37,6.88,1.281191806,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=WINGUV
151,YEYLUJ,1995,1.243,0.324267,145.11,0,0.193,0,2.92,4.98,1.705479452,1D,[1.2 - 1.3),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEYLUJ
152,YEZGAL,1995,1.395,0.439993,598.27,574.87,0.289,0.275,6.11,6.78,1.109656301,1D,[1.3 - 1.4),[0.4 - 0.5),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YEZGAL
153,YISPUL,1995,0.69,0.543766,1273.61,1281.57,0.746,0.748,12.38,12.92,1.04361874,2D,[0.6 - 0.8),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YISPUL
154,YOBRUC,1995,1.117,0.273363,91.29,0,0.209,0,1.68,4.24,2.523809524,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YOBRUC
155,YOCPEL,1995,1.08,0.315717,340.28,0,0.216,0,2.19,5.05,2.305936073,1D,[1.0 - 1.1),[0.3 - 0.4),[300 - 400),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YOCPEL
