Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
AKIZUR,2016,1.125,0.294537,8.99,0.201,2.91,4.12,1.41580756013746,1D
AKOBAF,2016,1.195,0.29606,62.64,0.192,3.26,4.47,1.37116564417178,3D
AKUJOH,2016,1.156,0.378833,61.57,0.236,2.93,4.43,1.51194539249147,1D
AKUMIE,2016,0.793,0.662146,1239.38,0.695,4.25,5.02,1.18117647058824,1D
AKURIH01,2004,0.667,0.676269,2839.29,0.918,7.99,8.86,1.10888610763454,1D
ALATIR,2011,1.595,0.216174,78.25,0.108,1.24,4.96,4,2D
ALATOX,2011,1.618,0.186481,31.96,0.095,1.42,4.63,3.26056338028169,1D
ALECUP,2004,1.216,0.434523,465.48,0.375,3.67,5.03,1.37057220708447,1D
ALEQEP,2016,0.731,0.637978,2117.75,0.741,6.36,7.58,1.19182389937107,1D
ALESAN,2016,0.751,0.633798,2005.8,0.718,5.89,7.45,1.26485568760611,1D
ALEZEY,2016,1.499,0.08579,2.16,0.035,2.88,4.2,1.45833333333333,1D
ALIFOS,2016,1.409,0.252238,56.79,0.125,2.67,4.56,1.70786516853933,1D
ALIFUY,2016,1.381,0.225565,12.04,0.116,2.42,4.32,1.78512396694215,2D
ALIHEJ,2011,1.034,0.221585,0.1,0.132,2.05,4.1,2,1D
ALIHUY,2004,1.52,0.239682,89.45,0.114,1.61,4.57,2.83850931677019,1D
ALIJUB,2011,0.919,0.272584,144.05,0.238,2.69,4.38,1.62825278810409,1D
ALIWEX,2004,2.3,0.270012,42.61,0.089,2.73,4.65,1.7032967032967,2D
ALOLES,2004,2.08,0.410734,208.11,0.164,3.42,5.17,1.51169590643275,2D
ALONOE,2004,1.499,0.272287,71.08,0.136,2.89,4.72,1.63321799307958,1D
ALTRMN,1982,1.02,0.296251,10.06,0.271,3.07,4.21,1.37133550488599,1D
ALUKIC,2011,0.73,0.703166,2953.25,0.866,4.58,6.37,1.39082969432314,1D
ALUKOI,2011,0.743,0.70224,2892.67,0.851,4.56,6.35,1.39254385964912,1D
ALUKUO,2011,0.746,0.703308,2837.79,0.847,4.64,6.37,1.37284482758621,1D
ALULAV,2011,0.755,0.704111,2801.53,0.832,4.57,6.36,1.39168490153173,1D
ALURAB,2011,1.051,0.434941,558.42,0.321,3.47,6.74,1.94236311239193,1D
ALUREF,2011,1.053,0.435477,555.43,0.315,3.46,6.71,1.9393063583815,1D
AMAGOL,2011,0.51,0.779341,4942.18,1.565,8.71,9.67,1.11021814006889,1D
AMAPIN,2004,1.195,0.336543,181.87,0.204,3.15,4.94,1.56825396825397,1D
AMAPUZ,2004,0.94,0.458001,721.39,0.421,4.35,5.37,1.23448275862069,1D
AMAQAG02,2005,1.174,0.273303,67.41,0.181,1.69,4.29,2.53846153846154,1D
AMAQAG,2004,1.174,0.272125,67.18,0.177,1.7,4.3,2.52941176470588,1D
AMAQEK,2004,1.255,0.292071,107.43,0.178,2.96,4.48,1.51351351351351,1D
AMEQUF,2011,1.198,0.250176,0.06,0.135,2.93,4.02,1.37201365187713,1D
AMILOY,2011,1.059,0.459139,821.88,0.35,9,10.67,1.18555555555556,1D
AMILUE,2011,1.033,0.469717,858.77,0.371,10.79,11.19,1.03707136237257,1D
AMIMAL,2011,1.04,0.463582,863.36,0.362,9.26,10.81,1.16738660907127,1D
AMIMAM,2016,1.251,0.247377,2.8,0.165,1.46,4.14,2.83561643835616,3D
AMINUF,2004,1.358,0.383814,335.04,0.215,2.95,5.57,1.88813559322034,1D
AMIYIF,2011,1.347,0.456215,164.97,0.296,3.65,5.33,1.46027397260274,1D
AMOCAH,2011,1.674,0.470621,375.23,0.274,3.78,5.19,1.37301587301587,1D
AMOFAK,2011,0.74,0.697311,2508.86,0.834,4.37,6.6,1.51029748283753,1D
AMOYOR,2011,1.169,0.291604,154.6,0.179,3.79,4.57,1.20580474934037,1D
AMUBIU,2011,1.502,0.176045,141.96,0.084,3.31,6.63,2.00302114803625,1D
AMUBOA,2011,0.767,0.656571,1443.57,0.808,4.72,6.21,1.3156779661017,1D
