Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
XEKJOP,33881.719,26752.194,1.311,0.138859,0.14,0.059,2,4,1D
XEKMIL,45661.535,56300.832,2.047,0.171594,0.18,0.073,2.38,4.07,1D
XEKMOR,29292.758,11319.04,0.642,0.640584,2316.52,0.941,9.35,9.78,1D
XEKMUX,29414.994,22982.796,1.297,0.186542,166.64,0.113,4.27,5.15,1D
XELXET,35959.781,23865.138,1.102,0.165564,1.81,0.097,1.26,4.11,3D
XEMFAW,32949.532,17804.832,0.897,0.648768,2590.42,0.744,5,6.49,1D
XEMNUB,71521.03,26649.856,0.619,0.716659,3173.06,1.048,6.73,10,2D
XEMPEK,28109.578,28880,1.706,0.189947,3.55,0.094,3.18,4.12,1D
XEMPIO,28199.585,28987.219,1.707,0.194115,5.02,0.096,3.22,4.18,1D
XENKIM,21673.066,15395.168,1.18,0.275945,344.31,0.18,1.18,6.69,3D
XENTOB,21962.387,18809.357,1.422,0.208355,5.16,0.125,1.78,4.1,2D
XEPBAX,41370.965,23085.216,0.927,0.498346,223.72,0.518,3.36,4.9,1D
XEPBUP,24669.82,18175.752,1.223,0.279741,15.66,0.143,1.89,4.36,2D
XEPCUS,24564.293,13743.168,0.929,0.457938,870.08,0.427,3.27,5.85,1D
XEPKUA,32498.324,27485.424,1.404,0.195148,36.13,0.095,1.68,4.76,2D
XEPRER,23284.899,13058.944,0.931,0.468548,1445.22,0.461,4.91,6.14,1D
XEQFUW,34815.649,26205.792,1.25,0.253219,18.11,0.133,2.72,4.45,1D
XEQLEM01,24693.546,19318.968,1.299,0.274886,48.17,0.141,2.05,4.38,1D
XEQLEM,24803.935,19318.968,1.293,0.278986,57,0.143,2.06,4.41,1D
XEQMOX,28108.631,18199.2,1.075,0.532513,1417.61,0.486,6.55,8.09,1D
XESBIH,43977.604,40747.712,1.539,0.087933,0.76,0.036,1.45,4.11,2D
XESCOO,96744.871,139796.928,2.399,0.198283,26.86,0.076,2.37,4.74,1D
XESKAJ,86144.675,63822.96,1.23,0.407913,707.92,0.287,8.69,9.21,1D
XESKIR,72742.02,57576.672,1.314,0.404625,736.64,0.303,9.51,10.12,1D
XESKOX,70195.751,66210.84,1.566,0.394195,557.26,0.227,8.35,8.59,1D
XESKUD,69624.899,57837.888,1.379,0.36663,654.92,0.267,8.84,9.37,1D
XESLAK,85915.516,73409.04,1.419,0.408647,684.94,0.284,9.23,9.7,1D
XESPOC,35032.286,14722.272,0.698,0.598611,2019.46,0.766,4.97,6.2,1D
XESSUK,30298.547,18056.664,0.99,0.4114,442.9,0.327,2.5,6.04,1D
XETGEK,46622.177,35784.504,1.275,0.328939,178.16,0.179,2.6,5.21,2D
XETJEM01,26168.79,18658.71,1.184,0.423235,994.31,0.365,4.42,5.33,1D
XETJEM,26149.445,18658.71,1.185,0.418227,953.04,0.363,4.53,5.34,1D
XETPOE,33160.727,22023.518,1.103,0.460017,63.81,0.35,2.94,4.29,1D
XETSIZ,37040.983,59548.176,2.67,0.144245,1.33,0.048,2.98,4.21,1D
XETVAU,34873.969,27420.992,1.306,0.339495,143.88,0.206,3.11,5.56,2D
XETVEY,37190.817,30876.992,1.379,0.230802,17.29,0.12,2.38,4.48,1D
XETVIC,40708.381,31772.992,1.296,0.249013,30.88,0.128,2.9,4.73,1D
XETWAV,42706.407,36489.168,1.419,0.325851,236.64,0.202,3.88,5.03,1D
XEVGUC,17941.517,21301.152,1.971,0.215124,65.69,0.061,2.41,5.57,3D
XEVJAL,29382.482,12702.304,0.718,0.694661,2763.96,0.847,4.29,7.68,2D
XEVJIT,29313.382,25276.608,1.432,0.166056,15.37,0.075,1.1,4.4,2D
XEVNER,38577.161,23886.711,1.028,0.485548,674.82,0.386,4.59,5.54,1D
XEVSAT,53769.684,44146.688,1.363,0.235676,22.98,0.132,3.45,4.36,1D
XEVVUQ,36485.663,39643.584,1.804,0.339566,33.58,0.149,2.86,4.49,1D
XEVXUT,39889.519,29116.608,1.212,0.318766,269.48,0.181,1.89,5.73,2D
XEVZAC01,34027.657,21092.064,1.029,0.451694,249.05,0.375,3.35,4.89,1D
XEVZAC03,34174.41,21092.064,1.025,0.465855,273.48,0.381,3.38,4.93,2D
XEVZAC04,34522.33,21092.064,1.015,0.464613,287.56,0.389,3.52,4.98,1D
XEVZAC05,34542.601,21092.064,1.014,0.468197,295.35,0.391,3.52,4.97,1D
XEVZAC,34022.196,21092.064,1.029,0.449671,239.47,0.373,3.37,4.92,1D
XEWCOT,36098.574,35096.76,1.614,0.235171,22.47,0.096,3.3,4.4,1D
XEWDAG,87769.835,37553.328,0.71,0.643622,2488.37,0.807,5.77,8.36,1D
XEWLAN,35686.793,25489.07,1.186,0.142167,0.26,0.067,1.24,4.05,3D
XEXLOD,24018.538,17016.16,1.176,0.48419,837.5,0.332,6.51,7.02,1D
XEXMEU,53620.911,34032.32,1.054,0.549154,1080.78,0.43,8.59,9.31,1D
XEXNEV,40905.267,37883.84,1.538,0.136454,25.13,0.051,2.64,4.73,1D
XEXXEF,32208.658,13343.264,0.688,0.570689,1739.34,0.784,3.75,6.12,1D
XEZJUJ,29914.124,25242.576,1.401,0.144867,9.59,0.075,2.5,4.26,1D
XEZLIZ,34710.407,24990.912,1.196,0.26786,211.71,0.158,1.61,5.27,1D
XEZLUL,32896.647,22857.28,1.154,0.457631,646.51,0.3,4.56,5.92,1D
XIBCIU,25748.457,17279.648,1.114,0.318812,54.19,0.229,3.16,4.48,2D
XIBXUB,39651.15,32224.08,1.35,0.114038,13.36,0.067,1.38,4.51,2D
XIBYAI,31147.578,12514.752,0.667,0.643041,2073.53,0.9,4.32,6.31,1D
XIBYEM01,47501.823,18147.2,0.634,0.652809,2605.15,0.924,4.87,7.36,2D
XIBYEM,47448.531,18147.2,0.635,0.65085,2620.28,0.913,4.84,7.32,3D
XICFEW,38242.36,30013.142,1.303,0.298025,3.19,0.146,2.22,4.19,1D
XICNOO01,59455.995,35606.016,0.994,0.654791,1543.05,0.649,6.85,16.9,3D
XICNOO,59822.347,35606.016,0.988,0.657163,1573.15,0.65,6.7,16.95,3D
XICTAH,44360.814,31108.416,1.164,0.43345,433.84,0.274,3.41,5.34,1D
XICZUG,36702.123,48801.154,2.208,0.076767,1.54,0.025,1.06,4.24,3D
XIDBUJ,56125.163,36999.456,1.095,0.479879,712.87,0.345,5.96,7.27,1D
XIDCOE,33821.004,19090.144,0.937,0.474105,394.98,0.421,3.55,6.19,1D
XIDFEX,31218.386,22229.064,1.182,0.346574,233.36,0.208,2.03,5.14,3D
XIFCIY,37402.798,29345.184,1.303,0.535893,337.88,0.407,3.74,5.13,1D
XIFHOJ,25782.993,24981.331,1.609,0.344612,26.79,0.193,3.17,4.48,1D
XIFHOL,62703.458,66321.312,1.756,0.368855,359.02,0.23,3.7,5.91,1D
XIFJED,37757.233,36520.8,1.606,0.14226,0.86,0.062,2.6,4.08,1D
XIFJIH,39034.163,27790.8,1.182,0.369952,262.78,0.228,2.04,5.15,2D
XIFJON,39564.871,27311.04,1.146,0.355227,283.15,0.246,2.28,5.27,2D
XIFJUT,39893.467,30357.744,1.264,0.355346,244.02,0.21,1.82,5.16,2D
XIFKAA,39216.226,28100.736,1.19,0.374419,269.75,0.233,2.05,5.18,2D
XIFWAK,36594.243,26100.691,1.184,0.350304,122.3,0.214,3.03,4.58,2D
XIGJUV,46297.18,36249.408,1.3,0.139047,50.36,0.063,1.34,5.36,2D
XIGNOR01,53888.463,19151.52,0.59,0.659619,3518.96,1.012,8.21,9.02,1D
XIGWIW,35274.361,28626.336,1.348,0.260674,13.3,0.166,1.48,4.18,3D
XIGWOC,53629.992,61318.912,1.899,0.091395,5.93,0.05,3,4.38,1D
XIGYOE,29444.429,42183.84,2.379,0.424834,321.03,0.186,3.85,5.13,1D
XIGZOE,54316.072,9575.76,0.293,0.829093,3882.52,2.734,17.86,18.39,1D
XIGZUK,54429.385,9962.352,0.304,0.830562,3689.86,2.642,19.09,19.4,1D
XIHBEX,54415.684,19151.52,0.584,0.656419,3570.91,1.029,8.2,9.01,1D
XIHBIB,54411.91,9962.352,0.304,0.829138,3699.07,2.628,18.24,18.59,1D
XIHCEX,31649.518,16554.682,0.869,0.563865,703.1,0.599,3.46,5.22,3D
XIHCEY,53863.257,9962.352,0.307,0.825511,3720.28,2.59,17.77,18.39,1D
XIHCIB,27661.997,20948.767,1.258,0.165399,43.1,0.091,1.38,4.5,1D
XIHCOI,29682.616,22676.8,1.269,0.440761,578.05,0.299,4.76,5.62,1D
XIHRIQ,34351.402,22858.596,1.105,0.37703,112.9,0.249,3.3,4.67,1D
XIHRUC,41657.667,25699.512,1.024,0.446437,688.68,0.352,1.96,6.39,2D
XIHWUI,36008.092,30186.384,1.392,0.264683,64.22,0.13,1.77,4.48,1D
XIHXUJ,28969.977,25943.706,1.487,0.160469,56.09,0.079,1.25,5.01,1D
XIHZAR,28726.364,18131.364,1.048,0.268089,59.63,0.178,2.2,4.71,1D
XIHZEV,28881.327,18155.364,1.044,0.264679,53.48,0.179,2.17,4.63,1D
XIJFAZ,35448.674,33103.52,1.551,0.178692,88.82,0.096,1.82,5.15,1D
XIJNUA,83691.62,38505.444,0.764,0.724728,1924.01,0.972,15.6,16.08,1D
XIJQEN,35281.539,20324.4,0.957,0.577589,1075.71,0.509,3.85,6.16,1D
XIJQIR,35525.434,20324.4,0.95,0.586807,1123.9,0.52,3.86,6.17,1D
XIJQOX,35269.318,20324.4,0.957,0.581521,1070.38,0.515,3.87,6.2,1D
XIJQUD,51033.029,24068.736,0.783,0.674425,1913.98,0.746,6.28,7.48,1D
XIJXEV,33740.25,20924.288,1.03,0.343452,727.54,0.342,3.85,5,2D
XIKHOO,32017.486,20182.608,1.047,0.463845,293.4,0.376,3.3,4.98,3D
XIKQUF,35660.329,32715.04,1.523,0.187339,86.51,0.094,1.66,5.41,2D
XIKRAM,35693.028,32766.368,1.524,0.187372,86.06,0.093,1.64,5.35,1D
XIKREQ,35301.832,32989.13,1.552,0.181591,83.63,0.088,1.87,5.28,1D
XIKVIX,28707.837,22888.526,1.324,0.320384,72.48,0.198,1.86,4.3,2D
XILCAX,39448.818,32284.8,1.359,0.197634,50.57,0.102,3.67,4.33,1D
XILQEP,33076.424,15104.664,0.758,0.612167,1748.45,0.714,5.02,6.27,1D
XILTOE,72940.424,49588.608,1.129,0.338554,42.9,0.237,3.28,4.38,1D
XILTUK,68504.93,49588.608,1.202,0.315569,30.46,0.189,3.39,4.4,2D
XILVEV,50918.569,33354.576,1.088,0.559557,617.67,0.377,2.99,6.18,1D
XILVIZ,32653.919,16677.288,0.848,0.650334,1838.48,0.636,4.44,7.41,1D
XIMLEL,31252.631,24938.15,1.325,0.099682,15.62,0.042,1.31,4.29,1D
XIMSET,57145.578,43624.8,1.268,0.426577,587.58,0.289,4,5.33,1D
XINFIL,49775.604,51884.624,1.731,0.149429,33.67,0.071,3.68,4.54,1D
XINFOR,53736.337,60297.669,1.863,0.151676,32.58,0.053,1.65,4.65,1D
XINHIN,37469.733,26037.312,1.154,0.190114,7.54,0.138,3.59,4.33,1D
XINMOZ,37285.954,29132.88,1.297,0.318451,338.94,0.182,4.51,6.28,1D
XINNAM,36895.635,29132.88,1.311,0.30937,314.07,0.174,4.5,6.17,1D
XINTAS,66483.134,61938.432,1.547,0.359393,74.38,0.185,3.1,4.86,1D
XINWUP,34560.272,24463.84,1.175,0.32073,88.44,0.207,3.25,4.91,1D
XINYAW,57188.467,38757.632,1.125,0.311123,227.83,0.21,2.46,5.93,1D
XIPHIP,41555.856,26644.356,1.065,0.483797,780.65,0.388,3.86,5.63,1D
XIPQOD,24334.959,17213.213,1.175,0.351584,249.31,0.236,2.39,4.78,1D
XIPSOG,47167.367,37072.526,1.305,0.266129,136.12,0.148,2.03,5.14,1D
XIPSUM,45975.424,37072.526,1.339,0.257048,100.85,0.136,1.73,4.9,1D
XIPTEX,52180.456,40888.526,1.301,0.232139,52.3,0.109,1.8,4.56,1D
XIPTIB,22913.032,19386.346,1.405,0.19299,6.94,0.108,1.81,4.19,1D
XIQDAD,35231.114,30909.931,1.457,0.192055,29.1,0.107,2.57,4.39,1D
XIQDIL,27919.557,25235.528,1.501,0.129941,10.48,0.065,1.09,4.36,2D
XIQDOR,28014.557,27756.227,1.645,0.12616,9.98,0.059,1.08,4.33,1D
XIQFIO,41779.786,21885.672,0.87,0.556268,1505.94,0.602,8.03,9.52,1D
XIQQAS,23458.425,17498.544,1.239,0.488918,312.42,0.309,3.16,5.39,1D
XIRKEP,23529.749,20471.696,1.445,0.290315,15.23,0.153,2.82,4.12,1D
XIRMIV,26110.243,8862.304,0.564,0.748855,2674.7,1.243,3.83,5.26,2D
XIRVOK,32261.619,21952.672,1.13,0.102995,41.49,0.071,1.61,4.56,1D
XIRWAX,63437.806,49680.294,1.3,0.103744,18.6,0.067,1.33,4.35,2D
XIRYON,25334.23,19843.392,1.301,0.314672,44.79,0.236,3.34,4.34,1D
XIRZOQ,40096.859,22018.016,0.912,0.530853,1363.79,0.528,4.24,7.07,1D
XISMEU,74153.045,49374.208,1.106,0.406617,762.06,0.299,6.16,9.86,1D
XISPEW01,26029.771,17886.88,1.141,0.586267,1042.18,0.463,5.12,7.24,1D
XISPEW02,27367.595,17886.88,1.085,0.588414,1304.4,0.5,5.18,7.45,1D
XISPEW,25267.861,17886.88,1.175,0.589502,982.22,0.448,4.98,7.16,1D
XISPUM,24404.207,17886.88,1.217,0.580456,923.32,0.424,4.32,7.05,1D
XISRAV,30073.897,28902.096,1.596,0.21149,19.08,0.099,2.61,4.26,1D
XISRID,33442.39,30198.096,1.499,0.259487,202.44,0.136,3.88,4.57,1D
XISSIE,29683.166,40449.792,2.263,0.197832,83.19,0.076,1.95,5.51,1D
XISXEC,55434.717,35416.526,1.061,0.147431,41.2,0.099,1.15,4.61,3D
XISXIG,55973.004,35416.526,1.051,0.152833,51.17,0.108,1.41,4.61,1D
XISXOM,44230.075,29513.772,1.108,0.112937,2.01,0.074,1.91,4.08,1D
XITBEJ,39591.393,36959.688,1.55,0.282864,274.83,0.16,3.84,5.61,1D
XITTEZ,32464.034,31065.024,1.589,0.249602,0.58,0.142,2.38,4.06,1D
XIVTAZ,43532.684,51299.208,1.957,0.238061,62.45,0.108,3.36,4.61,1D
XIWGUF,31071.382,25589.76,1.368,0.238107,0.06,0.118,3.58,3.97,1D
XIWMOH,38166.842,33208.915,1.445,0.097497,18.09,0.039,1.74,4.41,2D
XIWQAV,20715.572,19867.354,1.593,0.204696,2.54,0.097,1.03,4.13,2D
XIWWUX,30100.491,22972.23,1.267,0.383294,143.78,0.23,2.87,4.9,1D
XIXLAU,34340.82,33260.573,1.608,0.125964,40.81,0.057,1.29,5.17,1D
XIXLUO,30256.609,25037.064,1.374,0.252088,126.35,0.14,3.31,5,1D
XIYYEL,29053.359,12632.96,0.722,0.737437,3037.61,1.031,8,8.44,3D
XIZBEP,39440.665,20761.74,0.874,0.592178,1763.7,0.617,7.81,9.11,1D
