Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
XOYTUA,20569.377,5752.332,0.464,0.76373,3803.95,1.578,9.1,10,1D
XOZGIE,27295.362,21892.572,1.332,0.287161,34.03,0.153,2.78,4.37,1D
XOZJAX,45012.89,38625.919,1.425,0.170191,3.38,0.036,2.12,4.24,1D
XOZTEN,38837.846,23068.56,0.986,0.328113,193.52,0.267,2.91,5.21,1D
XOZVOY,32385.441,9191.76,0.471,0.725176,4577.57,1.481,8.87,9.53,1D
XOZYER,51703.54,52953.936,1.701,0.234952,61.65,0.116,3.56,4.51,1D
XUBLEM,34127.847,34056.288,1.657,0.259282,132.55,0.161,2.18,5.03,1D
XUBPER,19708.549,10273.482,0.866,0.435769,138.05,0.404,3.05,4.31,1D
XUBQES,30586.601,24163.632,1.312,0.338695,127.49,0.202,3.16,4.77,1D
XUBZEB,31116.96,40080.384,2.139,0.208519,5.85,0.071,1.03,4.13,1D
XUCFOR,27905.811,17303.28,1.03,0.563724,1580.74,0.525,7.22,8.47,1D
XUCNAL,23324.447,31260.41,2.226,0.130839,24.6,0.045,3.38,4.51,1D
XUDHEK,42141.648,33149.856,1.306,0.286167,140.88,0.17,1.2,4.81,3D
XUDMAL,37842.16,29073.456,1.276,0.331573,127.19,0.186,3.28,4.79,1D
XUDNAN,36936.437,24441.563,1.099,0.455219,664.63,0.337,3.01,6.02,2D
XUDPIX,38207.988,12849.92,0.558,0.794352,4149.58,1.285,6.45,11.12,1D
XUDWEA,76057.73,71785.08,1.567,0.094999,16.79,0.032,2.01,5.09,1D
XUDWOK,35998.635,33367.104,1.539,0.150313,37.13,0.067,1.17,4.69,3D
XUDXOL,40677.181,52220.352,2.132,0.146488,10.21,0.054,1.11,4.44,2D
XUDYEC,34022.631,27968.112,1.365,0.327312,378.55,0.189,4.65,6.11,1D
XUDYIG,36367.662,76938.408,3.513,0.309164,154.06,0.089,2.82,5.82,1D
XUDYOM,59073.483,58046.4,1.632,0.507915,377.13,0.239,5.17,5.79,1D
XUFFUA,34782.564,13773.456,0.658,0.659673,1636.54,0.934,3.75,5,2D
XUFGEL,60889.466,32595.456,0.889,0.589036,1395.96,0.565,4.91,7.29,2D
XUFGUB01,61356.515,33544.8,0.908,0.572303,855.72,0.593,3.82,6,1D
XUFGUB,61563.267,33544.8,0.905,0.573224,898.11,0.595,3.87,6.18,1D
XUFLOB,45643.576,33885.096,1.233,0.156804,14.49,0.09,2.7,4.41,2D
XUFQIA,23182.364,23337.9,1.672,0.143279,7.91,0.039,1.52,4.3,2D
XUFQUM,23395.356,23145.858,1.643,0.135364,8.57,0.04,1.54,4.36,2D
XUFTIB,39224.468,28073.534,1.188,0.351206,9.06,0.225,3.44,4.14,1D
XUFXAZ,48537.952,41686.272,1.426,0.171245,36.46,0.077,2.09,4.46,1D
XUFYAZ,69111.085,50083.84,1.203,0.284404,66.78,0.172,2.2,4.71,2D
XUFZIJ,43434.3,33881.856,1.295,0.25245,341.75,0.16,4.71,5.67,1D
XUGCEI,26553.679,24929.344,1.559,0.362326,825.96,0.24,5.79,6.61,1D
XUGFEK,25901.535,22482.864,1.441,0.200024,197.47,0.103,4.87,5.2,1D
XUGGUD,34137.807,18457.704,0.898,0.502763,1282.6,0.468,5.98,7.13,1D
XUGJOZ,33039.499,16086.823,0.809,0.635581,1853.51,0.693,5.29,6.86,1D
XUGSUN,46223.111,21538.944,0.774,0.60585,1822.27,0.654,5.26,8.59,2D
XUGTAU,46534.25,32284.416,1.152,0.286731,422.17,0.19,5.34,6.76,1D
XUGTIC,47092.789,21538.944,0.759,0.607956,1895.36,0.658,5.38,8.37,2D
XUGVAY,27740.536,27528.336,1.648,0.130456,0.7,0.051,1.63,4.12,1D
XUGWAZ,27828.638,26178.432,1.562,0.24996,34.83,0.097,2.99,4.52,1D
XUGXED,36210.579,22271.706,1.021,0.534951,651.45,0.463,3.51,6.62,1D
XUHRUN,55080.618,13151.04,0.396,0.772796,2480.22,1.84,17.52,18.79,1D
XUHSID,71245.611,66830.256,1.558,0.304782,40.83,0.149,1.96,4.95,3D
XUJCOV,25903.635,17728.256,1.136,0.245216,0.84,0.116,2.01,4.02,1D
XUJDAH,34387.185,14956.704,0.722,0.691154,3014.86,0.888,6.13,7.75,1D
XUJDIR,45915.911,22604.414,0.817,0.677476,1990.71,0.767,8.01,11.07,1D
XUJLUL,26707.323,18664.308,1.16,0.279505,6.43,0.183,2.23,4.2,3D
