Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
RUPLAR,2015,3.102,0.167307,18.5,0,0.054,0,2.87,4.69,1.634146341,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUPLAR
RUPTED,2015,2.493,0.157749,13.99,14.02,0.057,0.057,3.33,4.45,1.336336336,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[3.3-3.6),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUPTED
RUQFAM,2015,0.792,0.606075,2232.26,2139.45,0.687,0.69,6.31,7.79,1.234548336,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUQFAM
RUQLUM,2015,0.897,0.590774,1352.61,1289.13,0.573,0.568,3.96,5.28,1.333333333,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUQLUM
RURZIP,2015,1.302,0.275488,5.95,0,0.182,0,2.81,4.1,1.459074733,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RURZIP
RUVCOC,2015,1.266,0.217593,79.11,0,0.106,0,2.53,4.77,1.885375494,1D,[1.2 - 1.3),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUVCOC
RUXKEC,2015,1.198,0.238035,2.51,0,0.126,0,2.84,4.15,1.461267606,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUXKEC
RUXKUS,2015,1.229,0.222099,30.21,0,0.096,0,2.38,4.48,1.882352941,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.4-4.5),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUXKUS
RUYMOP,2015,1.38,0.259784,12.93,0,0.149,0,3.21,4.41,1.373831776,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUYMOP
RUYVIS,2015,0.695,0.686727,1858.84,1848.76,0.894,0.896,12.73,14.62,1.148468185,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.8 - 1.0),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUYVIS
RUZMOQ,2015,2.027,0.251164,73.23,0,0.09,0,1.3,5.2,4,1D,[2.0 - 7.0],[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=RUZMOQ
SABJIR,2015,1.412,0.50146,262.22,270.4,0.281,0.279,3.87,4.57,1.180878553,1D,[1.4 - 1.5),[0.5 - 0.6),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[4.5-4.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SABJIR
SABJOX,2015,1.451,0.490727,182.64,161.89,0.263,0.24,3.82,4.5,1.178010471,1D,[1.4 - 1.5),[0.4 - 0.5),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[4.5-4.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SABJOX
SACWEB,2015,1.285,0.450488,247.45,0,0.231,0,2.39,5.11,2.138075314,1D,[1.2 - 1.3),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[5.0-5.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SACWEB
SADJOZ,2015,0.32,0.832415,8151,8249.16,2.637,2.634,8.43,9.59,1.137603796,1D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADJOZ
SADJUF,2015,0.965,0.357865,625.34,636.6,0.321,0.317,3.36,6.73,2.00297619,1D,[0.8 - 1.0),[0.3 - 0.4),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[6.5-7.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADJUF
SIQJEJ01,2015,1.513,0.179683,17.09,0,0.093,0,1.7,4.29,2.523529412,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQJEJ01
SIQNEN01,2015,1.019,0.458718,453.39,449.95,0.345,0.346,3.62,4.7,1.298342541,1D,[1.0 - 1.1),[0.4 - 0.5),[400 - 500),[400-500),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQNEN01
SIVQEV01,2015,1.215,0.480653,609.56,570.45,0.352,0.344,3.29,5.37,1.632218845,3D,[1.2 - 1.3),[0.4 - 0.5),[600 - 800),[500-600),[0.3 - 0.4),[0.3-0.4),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIVQEV01
SUBMOT,2015,0.957,0.46238,380.97,0,0.408,0,3.11,5.31,1.707395498,1D,[0.8 - 1.0),[0.4 - 0.5),[300 - 400),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUBMOT
SUBTAM,2015,1.326,0.572381,961.3,950.4,0.39,0.393,3.87,5.76,1.488372093,1D,[1.3 - 1.4),[0.5 - 0.6),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUBTAM
SUCHAB,2015,1.908,0.194302,2.39,0,0.102,0,2.39,4.08,1.707112971,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUCHAB
SUHMAL,2015,1.248,0.275236,150.94,0,0.202,0,3.21,4.85,1.510903427,1D,[1.2 - 1.3),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUHMAL
SUKREX,2015,2.257,0.161916,66.22,0,0.064,0,0.98,5.54,5.653061224,NON-POROUS,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.98,[5.3-5.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUKREX
SUKRIB,2015,2.297,0.156278,55.35,0,0.061,0,0.95,5.36,5.642105263,NON-POROUS,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.95,[5.3-5.6),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUKRIB
SULVIG,2015,1.773,0.496124,335.51,328.46,0.285,0.286,3.73,4.84,1.297587131,2D,[1.6 - 1.8),[0.4 - 0.5),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SULVIG
SULVOM,2015,1.86,0.496265,607.22,608.59,0.258,0.255,4.57,5.65,1.236323851,1D,[1.8 - 2.0),[0.4 - 0.5),[600 - 800),[600-800),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SULVOM
SULVUS,2015,1.586,0.537021,699.46,650.38,0.348,0.306,4.4,5.56,1.263636364,1D,[1.5 - 1.6),[0.5 - 0.6),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SULVUS
SUMPIB,2015,1.504,0.44622,153.68,0,0.258,0,3.31,4.68,1.413897281,1D,[1.5 - 1.6),[0.4 - 0.5),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUMPIB
SUMPOH,2015,1.595,0.432766,137.18,0,0.226,0,3.19,4.66,1.460815047,1D,[1.5 - 1.6),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUMPOH
SUMTUR,2015,1.331,0.269455,4.18,0,0.157,0,1.26,4.1,3.253968254,3D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUMTUR
SUMZIL,2015,1.512,0.560565,1252.65,1247.14,0.392,0.39,4.81,8.2,1.704781705,2D,[1.5 - 1.6),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.3 - 0.4),[0.3-0.4),[4.5-5.0),[8.0-10.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUMZIL
SUNJOC,2015,1.194,0.268083,6.69,0,0.172,0,1.26,4.12,3.26984127,3D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUNJOC
SUPZIO,2015,0.6,0.745313,2114.04,2049.05,1.18,1.177,12.01,12.53,1.043297252,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.0 - 1.5),[1.0-1.25),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPZIO
SUPZOU,2015,1.127,0.505022,556.77,550.38,0.394,0.39,3.74,5.29,1.414438503,1D,[1.1 - 1.2),[0.5 - 0.6),[500 - 600),[500-600),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPZOU
SUPZUA,2015,0.752,0.670705,2143.93,2093.59,0.798,0.797,6.31,8.99,1.424722662,2D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUPZUA
SUQHUJ,2015,1.148,0.689917,813.94,812.61,0.526,0.521,3.76,6.89,1.832446809,2D,[1.1 - 1.2),[0.6 - 0.7),[800 - 1000),[800-1000),[0.5 - 0.6),[0.5-0.6),[3.6-3.8),[6.5-7.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUQHUJ
SURDOA,2015,1.297,0.259367,0.53,0,0.157,0,3.18,4.13,1.298742138,2D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SURDOA
SUSMIE,2015,1.414,0.334868,10.28,0,0.164,0,2.91,4.24,1.457044674,1D,[1.4 - 1.5),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUSMIE
SUSNOL,2015,1.349,0.10292,1.59,0,0.039,0,2.03,4.06,2,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUSNOL
SUSRUV,2015,1.403,0.271911,21.36,0,0.146,0,1.74,4.39,2.522988506,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUSRUV
SUTJIC,2015,1.209,0.171593,121.73,0,0.089,0,2.79,4.99,1.788530466,1D,[1.2 - 1.3),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUTJIC
SUVLUS,2015,0.828,0.486332,460.3,106.25,0.589,0.152,3.28,4.97,1.515243902,1D,[0.8 - 1.0),[0.4 - 0.5),[400 - 500),[100-200),[0.5 - 0.6),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUVLUS
SUVMUT,2015,1.474,0.20167,89.96,0,0.1,0,1.24,4.98,4.016129032,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUVMUT
SUVWIR,2015,1.479,0.19539,80.34,0,0.097,0,1.24,4.94,3.983870968,1D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUVWIR
SUXGAV,2015,1.017,0.169753,182.14,164.03,0.133,0.127,4.47,5.27,1.178970917,1D,[1.0 - 1.1),[0.1 - 0.2),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.0-5.3),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUXGAV
SUXREK,2015,1.338,0.278631,3.94,0,0.147,0,2.94,4.16,1.414965986,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUXREK
SUZDEY,2015,1.224,0.356773,42.77,42.36,0.214,0.217,3.6,4.45,1.236111111,1D,[1.2 - 1.3),[0.3 - 0.4),[0 - 50),[0.05-50),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SUZDEY
TUGDAC,2015,1.525,0.166797,1.97,0,0.069,0,1.8,4.16,2.311111111,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUGDAC
TUHREV,2015,1.402,0.128465,50.73,0,0.065,0,2.05,4.74,2.312195122,2D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUHREV
TUJCAE,2015,1.188,0.360607,453.14,446.76,0.245,0.245,3.91,5.72,1.462915601,1D,[1.1 - 1.2),[0.3 - 0.4),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUJCAE
TUJDEJ,2015,1.401,0.265739,280.2,281.07,0.142,0.143,4.46,4.77,1.069506726,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[4.6-4.8),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUJDEJ
TUMDEM,2015,1.31,0.433718,161.3,0,0.262,0,2.64,4.98,1.886363636,2D,[1.3 - 1.4),[0.4 - 0.5),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUMDEM
TUMJUI,2015,0.984,0.326049,2.68,0,0.292,0,1.64,4.14,2.524390244,1D,[0.8 - 1.0),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUMJUI
TUMKAP,2015,0.967,0.336498,16.19,0,0.312,0,1.8,4.16,2.311111111,1D,[0.8 - 1.0),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUMKAP
TUMQUP,2015,1.235,0.403674,12.03,0,0.246,0,3.1,4.25,1.370967742,1D,[1.2 - 1.3),[0.4 - 0.5),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUMQUP
TUMVEE,2015,1.37,0.362881,180.08,170.08,0.206,0.122,4.07,4.8,1.179361179,1D,[1.3 - 1.4),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.1-0.2),[4.0-4.5),[4.8-5.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUMVEE
TUNDEN,2015,1.196,0.599554,902.2,879.63,0.429,0.424,4.48,5.97,1.332589286,1D,[1.1 - 1.2),[0.5 - 0.6),[800 - 1000),[800-1000),[0.4 - 0.5),[0.4-0.5),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUNDEN
TUNKEU,2015,1.419,0.405564,132.9,0,0.231,0,2.93,4.78,1.631399317,1D,[1.4 - 1.5),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUNKEU
TUNMUM,2015,0.832,0.606965,1642.43,1650.85,0.668,0.659,8.59,9.76,1.136204889,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUNMUM
TUNNIB,2015,1.318,0.218384,15.53,0,0.129,0,1.32,4.31,3.265151515,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUNNIB
TUPDIT01,2015,1.309,0.339456,159.82,0,0.189,0,3.16,4.62,1.462025316,1D,[1.3 - 1.4),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUPDIT01
TUPDIT,2015,1.316,0.339985,164.26,14.39,0.19,0.015,3.18,4.64,1.459119497,1D,[1.3 - 1.4),[0.3 - 0.4),[150 - 200),[0.05-50),[0.1 - 0.2),[0.01-0.1),[3.0-3.3),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUPDIT
TURFAP,2015,1.054,0.437606,616.53,543.5,0.322,0.308,3.96,5.69,1.436868687,1D,[1.0 - 1.1),[0.4 - 0.5),[600 - 800),[500-600),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TURFAP
TURXAH01,2015,1.605,0.077947,0.73,0,0.035,0,1.25,4.09,3.272,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TURXAH01
TURXAH,2015,1.726,0.079989,0.26,0,0.033,0,1.26,4.11,3.261904762,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TURXAH
TUTGUM,2015,1.329,0.179217,55.35,0,0.087,0,1.19,4.78,4.016806723,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUTGUM
TUVGIC,2015,0.73,0.562018,1627.2,1198.81,0.68,0.516,4.32,8.92,2.064814815,1D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1000-1500),[0.6 - 0.8),[0.5-0.6),[4.0-4.5),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUVGIC
TUWWIT,2015,1.329,0.339251,405,400.79,0.257,0.256,3.62,6.04,1.668508287,1D,[1.3 - 1.4),[0.3 - 0.4),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUWWIT
TUXBUL,2015,0.937,0.415981,194.48,90.98,0.408,0.166,3.44,4.86,1.412790698,1D,[0.8 - 1.0),[0.4 - 0.5),[150 - 200),[50-100),[0.4 - 0.5),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUXBUL
TUYQAH,2015,2.682,0.3566,310.49,306.38,0.125,0.124,4.2,5.94,1.414285714,1D,[2.0 - 7.0],[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TUYQAH
UGAZOT,2015,1.25,0.270261,36.63,38.18,0.162,0.163,3.22,4.3,1.335403727,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.0-3.3),[4.3-4.4),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGAZOT
UGEMIE,2015,1.02,0.35214,447.45,0,0.264,0,1.99,6.02,3.025125628,2D,[1.0 - 1.1),[0.3 - 0.4),[400 - 500),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[1.6-2.2),[6.0-6.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGEMIE
UGIDUL,2015,0.959,0.553456,1098.08,1075.7,0.51,0.503,4.71,5.95,1.263269639,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGIDUL
UGOFED,2015,1.264,0.417821,240.91,237.29,0.247,0.242,3.64,4.61,1.266483516,1D,[1.2 - 1.3),[0.4 - 0.5),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGOFED
UGOPIR,2015,1.308,0.17448,4.01,0,0.082,0,2.08,4.17,2.004807692,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGOPIR
UGORAL,2015,1.159,0.349704,359.9,332.45,0.229,0.208,3.82,4.96,1.298429319,1D,[1.1 - 1.2),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UGORAL
UHADUE,2015,1.122,0.278418,60.25,0,0.161,0,2.66,5.02,1.887218045,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UHADUE
UHAFEQ,2015,1.132,0.279784,53.73,0,0.163,0,2.79,5,1.792114695,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UHAFEQ
