Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
IDEBIC,1.232,0.37877,712.11,0.251,4.93,7.32,1.484787018
IDEGIJ,1.167,0.364495,78.9,0.223,3.23,4.72,1.46130031
IDEHUW,0.731,0.566474,2144.84,0.728,6.88,8.2,1.191860465
IDELAG01,1.299,0.22419,35.98,0.132,3.49,4.31,1.23495702
IDELAG,1.3,0.227291,37.33,0.134,3.52,4.34,1.232954545
IDEROB,1.334,0.384201,58.1,0.226,3.12,4.55,1.458333333
IDEWAS,1.16,0.460932,118.55,0.307,3.49,4.66,1.335243553
IDEYOF,0.653,0.741842,3029.21,1.019,5.73,9.56,1.668411867
IDICUW,1.254,0.218831,48,0.119,2.93,4.59,1.566552901
IDIFEJ,0.954,0.508248,555.44,0.499,3.7,5.41,1.462162162
IDIGUZ,0.932,0.664213,1646.73,0.666,5.51,7.68,1.393829401
IDINIU,1.479,0.168163,103.64,0.093,1.21,4.83,3.991735537
IDINUF,1.34,0.244857,3.86,0.145,2.76,4.17,1.510869565
IDIRIZ,1.242,0.293657,97.32,0.161,1.62,4.6,2.839506173
IDIWOH01,0.999,0.627831,1315.77,0.527,7.06,7.55,1.069405099
IDIWOH02,0.988,0.610664,1315.25,0.53,6.81,7.42,1.089574156
IDIWOH03,0.987,0.615387,1318.36,0.529,6.99,7.54,1.078683834
IDIWOH04,0.985,0.615447,1320.25,0.532,6.99,7.54,1.078683834
IDIWOH05,0.987,0.615958,1325.29,0.533,6.97,7.52,1.078909613
IDIWOH06,0.987,0.616235,1326.12,0.534,6.93,7.54,1.088023088
IDIWOH,1,0.629195,1327.01,0.528,7.01,7.56,1.078459344
IDOLAR,1.987,0.185331,48.66,0.056,2.15,5.44,2.530232558
IDOLIZ,1.967,0.188909,47.89,0.056,2.11,5.27,2.497630332
IDOLOF,1.748,0.191015,53.02,0.062,2.15,5.43,2.525581395
IDOMAS,2.038,0.188575,43.99,0.053,2.12,5.37,2.533018868
IDOQUQ,0.589,0.698352,3283.82,1.085,6.28,7.84,1.248407643
IDOSEA,1.423,0.182758,16.54,0.115,2.37,4.24,1.789029536
IDOXAD,0.986,0.349932,36.3,0.261,1.99,4.25,2.135678392
IDUDES,1.273,0.40748,35.42,0.231,2.66,4.34,1.631578947
IDUDUG,1.485,0.21283,10.1,0.12,3.14,4.18,1.331210191
IDUJOI,1.104,0.409172,85.55,0.325,3.31,4.41,1.332326284
IDUKAV,0.817,0.651,1706.56,0.741,4.37,6.28,1.437070938
IDUPEC,1.338,0.388018,655.64,0.251,4.61,5.02,1.088937093
IDUPOM,1.272,0.286019,240.81,0.168,1.5,5.98,3.986666667
IDUPOP,1.618,0.223957,49.55,0.121,3.31,5.01,1.513595166
IDUQAC,1.5,0.253021,195.72,0.143,3.21,5.48,1.707165109
IDUQUT,1.991,0.134555,52.31,0.037,1.47,5.9,4.013605442
IFACAT01,1.081,0.49757,929.22,0.421,4.32,5.84,1.351851852
IFACAT02,1.094,0.482068,816.33,0.404,3.52,5.33,1.514204545
IFACAT,1.079,0.489925,925.33,0.413,4.33,5.69,1.31408776
IFAGON,0.928,0.583686,1323.73,0.511,5.56,7.03,1.264388489
IFAHAY,0.937,0.615439,1523.16,0.687,4.78,6.47,1.353556485
IFAQAI,1.381,0.548307,1296.02,0.427,5.47,7.29,1.332723949
IFAQOW,1.87,0.113524,48.2,0.039,1.28,5.13,4.0078125
IFASEO,1.4,0.513548,1253.9,0.413,4.6,6.6,1.434782609
IFASIS,1.45,0.493591,1053.14,0.379,4.66,7.18,1.540772532
IFAZAT,1.732,0.172844,1.53,0.071,1.27,4.13,3.251968504
IFAZEX,1.729,0.169963,12.84,0.074,1.1,4.41,4.009090909
IFAZIB,1.705,0.187295,11.31,0.083,1.09,4.35,3.990825688
IFAZOH,1.714,0.169765,14,0.074,1.1,4.4,4
IFAZUN,1.771,0.186243,8.51,0.079,1.07,4.28,4
IFEJOT,1.785,0.345206,227.22,0.151,3.2,6.03,1.884375
IFEJUZ,1.391,0.583872,858.81,0.382,4.78,7.35,1.537656904
IFIPUJ,0.952,0.57335,1230.09,0.554,3.84,5.81,1.513020833
IFIQIA,1.753,0.289967,8.98,0.175,3.33,4.32,1.297297297
IFIQOG,2.084,0.402797,197.44,0.182,3.92,5.08,1.295918367
IFUTEI,1.349,0.17304,86.12,0.081,1.27,5.08,4
IGADAX,1.384,0.215396,311.65,0.135,5.37,5.96,1.109869646
IGAKIN,1.098,0.162052,26.98,0.111,1.33,4.33,3.255639098
IGAVUJ,1.463,0.556576,1327.71,0.362,6.24,6.62,1.060897436
IGAWAQ,1.527,0.530097,1131.56,0.335,6.02,6.37,1.058139535
IGEJUA,1.089,0.267837,0.64,0.166,1.75,4.05,2.314285714
IGEMOX,1.747,0.270975,43.88,0.116,1.1,4.41,4.009090909
IGEPAL,1.535,0.363262,242.19,0.2,3.67,4.89,1.332425068
IGEPEP,1.515,0.381059,286.93,0.212,3.81,4.95,1.299212598
IGIVOL,1.743,0.107404,3.44,0.037,1.28,4.18,3.265625
IGOBOW,1.332,0.178162,0.3,0.089,2.67,4.03,1.509363296
IGOBUC,1.533,0.350615,291.22,0.184,3.45,5.41,1.568115942
IGOCUD,1.23,0.60684,969.98,0.439,1.96,11.81,6.025510204
IGOGIV,1.169,0.24434,99.92,0.161,2.09,4.46,2.133971292
IGOJAR,1.477,0.199178,57.1,0.099,3.74,4.32,1.155080214
IGOYUA,1.687,0.133405,51.1,0.054,4.16,4.9,1.177884615
IGOZEL,2.078,0.212666,54.78,0.054,2.42,5.6,2.314049587
IGOZIO,0.756,0.571619,1055.7,0.63,3.76,5.69,1.513297872
IGOZIP,2.078,0.207957,52.62,0.055,2.4,5.55,2.3125
IGOZOV,2.067,0.215415,53.51,0.055,2.35,5.67,2.412765957
IGUCIY,1.654,0.21098,73.51,0.105,3.42,4.44,1.298245614
IGUJIE,1.24,0.372706,204.78,0.238,2.94,5.01,1.704081633
IGUJOK,1.339,0.230642,17.68,0.117,1.67,4.23,2.532934132
IGUKAX,1.204,0.318551,146.58,0.22,2.27,4.54,2
IGUKAY,0.765,0.568153,1807.68,0.687,5.37,6.96,1.296089385
IGUKIG,1.104,0.380336,221.67,0.267,3.65,4.73,1.295890411
IGUTUB01,1.37,0.285084,213.5,0.148,2.11,5.34,2.530805687
IGUTUB,1.323,0.343652,296.2,0.187,3.18,5.69,1.789308176
IGUVAJ01,1.341,0.297314,228.72,0.158,2.34,5.4,2.307692308
IGUVAJ,1.419,0.260057,51.17,0.123,1.34,4.38,3.268656716
IGUVIR01,1.308,0.363644,366.83,0.201,3.78,5.92,1.566137566
IGUVIR,1.343,0.349406,296.09,0.185,3.44,5.61,1.630813953
IHAFUU,1.556,0.482622,772.94,0.277,4.57,6.09,1.332603939
IHAGAB,1.714,0.323591,125.91,0.162,3.81,5.09,1.335958005
IHAGEF,1.728,0.324687,126.48,0.161,3.85,5.13,1.332467532
IHAGIJ,1.832,0.401866,196.4,0.17,3.86,5.01,1.297927461
IHAGOO,0.826,0.605037,1799.41,0.735,4.27,6.35,1.487119438
IHAGOP,1.84,0.403092,191.89,0.169,3.87,5.02,1.297157623
IHAMUA,1.493,0.187655,6.54,0.101,2.09,4.19,2.004784689
IHEQAP,1.443,0.323313,229.38,0.198,3.94,4.98,1.263959391
IHEQET,1.439,0.325836,207.56,0.196,3.9,5.06,1.297435897
IHERIY,1.389,0.253373,152.93,0.138,3.11,4.88,1.569131833
IHEVIA,1.223,0.255765,0.93,0.168,1.93,4.13,2.139896373
IHIJOY,0.932,0.496594,450.98,0.454,3.59,4.79,1.334261838
IHITEY,0.633,0.63362,2029.38,0.921,9.08,10.27,1.131057269
IHOGIX,1.593,0.253709,143.13,0.113,2.21,6.69,3.027149321
IHOQIF,1.148,0.439522,539.78,0.355,3.69,5.39,1.460704607
IHOSUV,1.239,0.231597,9.5,0.158,1.81,4.17,2.303867403
IHOVAD,1.066,0.36326,613.35,0.257,4.7,6.76,1.438297872
IHUPEG,1.298,0.329016,3.42,0.198,3.27,4.14,1.266055046
IHUQEH,1.307,0.26311,15.79,0.141,1.74,4.4,2.528735632
IHUTIQ,1.273,0.184022,9.92,0.111,3.23,4.31,1.334365325
IHUWOZ,2.183,0.109035,65.36,0.042,3.3,6.6,2
IJAGIL,0.88,0.397661,1049.66,0.396,7.42,8.23,1.10916442
IJALEL,1.184,0.435925,147.88,0.291,2.95,4.82,1.633898305
IJASAO01,1.216,0.438552,249.9,0.281,3.35,5.72,1.707462687
IJASIV,1.326,0.27228,34.53,0.134,2.61,4.27,1.636015326
IJEFUZ,1.162,0.3894,274.43,0.315,3.97,4.9,1.234256927
IJEXIF01,1.084,0.647392,1281.62,0.523,4.02,6.71,1.669154229
IJEXIF,1.072,0.645559,1301.04,0.531,4.05,6.62,1.634567901
IJEXUR,1.513,0.23372,120.61,0.114,2.5,4.71,1.884
IJISUQ,1.107,0.417376,768.66,0.312,5.47,6.13,1.120658135
IJITEC,1.327,0.136498,13.16,0.072,1.32,4.32,3.272727273
IJIYUW,1.217,0.21482,14.04,0.11,2,4.27,2.135
IJIZUX,1.126,0.238773,188.87,0.164,2.62,5.23,1.996183206
IJODES,1.442,0.278265,103.36,0.141,2.6,4.64,1.784615385
IJOMOJ02,1.615,0.279431,157.44,0.179,3.4,4.81,1.414705882
IJOMOJ04,1.618,0.277492,154,0.181,3.29,4.8,1.458966565
IJOMOJ06,1.623,0.273811,142.74,0.176,3.37,4.77,1.415430267
IJOMOJ07,1.615,0.277983,160.44,0.179,3.27,4.78,1.4617737
IJOQEE,1.455,0.361273,56.62,0.225,3.51,4.33,1.233618234
IJUJEE,2.136,0.16708,7.44,0.062,1.91,4.4,2.303664921
IJUWUH,1.069,0.492789,642.03,0.387,4.27,5.4,1.264637002
IKABON,1.369,0.425012,549.51,0.299,3.92,5.54,1.413265306
IKACUU,0.408,0.857032,5501.76,1.97,7.4,8.21,1.109459459
IKADOP,0.604,0.715539,2907.56,1.075,7.58,8.79,1.159630607
IKATIZ,1.373,0.355808,137.38,0.187,3,5.65,1.883333333
IKAYAU,1.662,0.121295,5.86,0.056,3,4.39,1.463333333
IKEVID,1.067,0.444055,187.57,0.321,3.58,5.07,1.416201117
IKEWEB,1.247,0.437615,307.85,0.276,2.71,5.42,2
IKEWIE,0.876,0.639424,2555.84,0.726,5.54,6.53,1.178700361
IKEWIF,1.386,0.285668,31.75,0.168,3.13,4.3,1.373801917
IKICAI,1.371,0.383681,253.36,0.258,3.18,5.19,1.632075472
IKOLIF,0.609,0.749275,2362.89,1.092,13.71,14.02,1.022611233
IKOQII,1.175,0.307522,24.31,0.13,2.57,4.2,1.634241245
IKUHUT,2.096,0.170652,9.19,0.079,3.53,4.17,1.181303116
IKULUX,0.946,0.492379,204.1,0.412,3.88,5.33,1.37371134
ILAFIL,1.75,0.210794,5.1,0.1,2.64,4.31,1.632575758
ILAFOQ,0.698,0.466454,2033.97,0.681,6.89,7.88,1.143686502
ILAGUY,1.414,0.177428,21.15,0.087,3.08,4.35,1.412337662
ILALOW,0.845,0.525032,1496.19,0.552,5.37,6.88,1.281191806
ILAMAJ,1.057,0.371705,282.58,0.263,3.89,5.33,1.370179949
ILAPES,1.329,0.299375,2.68,0.176,1.75,4.04,2.308571429
ILAPIV,1.004,0.447621,758.15,0.36,2.19,6.63,3.02739726
ILAXEA,1.096,0.310764,69.98,0.187,2.49,5.32,2.136546185
ILECIN,1.144,0.286815,25.99,0.28,2.36,4.23,1.792372881
ILEDAF,0.835,0.474772,52.08,0.47,3.18,4.23,1.330188679
ILEDIO,1.057,0.22531,2.54,0.143,1.45,4.11,2.834482759
ILEHOX,1.485,0.427305,533.99,0.257,5.16,6.23,1.207364341
ILEXUS,0.761,0.566995,1371.54,0.691,11.24,11.76,1.046263345
ILIFOA,0.681,0.692921,2282.32,0.907,4.13,6.89,1.668280872
ILIFOY,1.778,0.297517,234.73,0.147,4.28,5.41,1.264018692
ILIGIT,1.5,0.320993,259.46,0.207,4.01,4.84,1.206982544
ILIGOZ,1.582,0.318392,209.13,0.191,3.96,4.78,1.207070707
ILIKUL,0.67,0.751146,2907.39,1.026,6.98,9.17,1.313753582
ILIQEB,1.52,0.202692,0.08,0.104,1.6,4.04,2.525
ILIXIL,0.876,0.553346,1234.15,0.525,5.69,10.19,1.79086116
ILODIY,0.646,0.690147,2725.2,0.95,7.85,8.88,1.131210191
ILOYEP01,1.279,0.199293,79.77,0.12,1.76,4.99,2.835227273
ILOYEP,1.328,0.17936,50.98,0.083,1.43,4.65,3.251748252
ILUCOI,1.066,0.349622,795.91,0.281,6.66,8.88,1.333333333
ILUCUO,1.057,0.349116,795.57,0.288,6.76,8.89,1.315088757
ILUDAV,1.075,0.349341,789.76,0.282,6.69,8.86,1.324364723
ILUFIF,1.684,0.214104,142.28,0.1,2.62,6.64,2.534351145
ILUFOL,1.712,0.214153,132.86,0.1,2.62,6.63,2.530534351
ILUGEC,1.687,0.212366,108.08,0.103,2.85,5.09,1.785964912
ILUGOM,1.685,0.209129,137.11,0.101,2.68,6.78,2.529850746
ILUGUS,1.67,0.227575,120.9,0.12,3.09,5.26,1.702265372
ILUHED,1.685,0.23497,131.37,0.127,3.21,5.48,1.707165109
ILUHIH,1.699,0.217377,139.34,0.102,2.69,6.82,2.535315985
ILUHON,1.634,0.208484,136.4,0.102,2.79,6.74,2.415770609
ILUJAB,1.593,0.211657,152.54,0.107,2.92,6.75,2.311643836
ILUJIJ,1.625,0.210344,150.81,0.108,2.64,6.68,2.53030303
ILUZEV,1.214,0.32693,155.78,0.242,2.88,4.7,1.631944444
ILUZIZ,1.223,0.327828,145.9,0.236,3.07,4.64,1.511400651
IMACZN01,1.421,0.217896,19.24,0.086,3.29,4.39,1.334346505
IMAFOT,0.666,0.627729,1942.69,0.842,4.73,6.22,1.315010571
IMAFUZ,0.667,0.628885,1959.79,0.834,4.73,6.22,1.315010571
IMAGAG,0.792,0.592143,894.57,0.622,3.85,5.28,1.371428571
IMAJIR,1.57,0.20079,0.37,0.085,1.26,4.11,3.261904762
IMARAP,1.856,0.341583,196.95,0.168,3.55,5.57,1.569014085
IMARET,2.029,0.228931,17.74,0.103,2.68,4.79,1.787313433
IMAWIC,1.189,0.420717,88.88,0.337,2.96,4.32,1.459459459
IMAWOI,1.442,0.426356,159.42,0.27,3.82,4.6,1.204188482
IMEXAB,1.538,0.151082,14.22,0.071,1.74,4.41,2.534482759
IMIDZB01,1.53,0.0917,0.07,0.04,2.05,4.1,2
IMIDZB02,1.54,0.100024,0.78,0.042,2.06,4.12,2
IMIDZB07,1.573,0.06815,2.63,0.028,1.26,4.12,3.26984127
IMIDZB08,1.541,0.097324,0.07,0.04,2.03,4.06,2
IMIDZB09,1.584,0.068181,3.12,0.028,1.28,4.18,3.265625
IMIDZB13,0.789,0.696746,1914.44,0.791,12.98,14.36,1.106317411
IMIRAZ,1.084,0.567714,534,0.454,3.36,6.01,1.788690476
IMUBEY,1.286,0.259819,29.97,0.178,3.4,4.42,1.3
IMUCID,1.301,0.22325,52.56,0.13,3.12,4.56,1.461538462
IMULUX,2.283,0.170088,15.83,0.063,1.13,4.51,3.991150442
IMUZIB,1.447,0.161334,5.46,0.06,2.39,4.28,1.790794979
IMZYCO01,1.496,0.096294,1.13,0.044,2.07,4.14,2
IMZYCO,1.51,0.066196,4.31,0.031,1.27,4.14,3.25984252
INADAD,1.609,0.181528,0.18,0.084,2.53,4.14,1.636363636
INAMIV,1.486,0.25498,40.06,0.12,2.15,4.31,2.004651163
INAMUF,1.4,0.273144,26.46,0.155,2.3,4.59,1.995652174
INAMUH,1.435,0.259895,63.72,0.126,2.05,4.39,2.141463415
INASEV,1.353,0.285553,112.19,0.175,2.92,4.76,1.630136986
INASOH,1.499,0.256922,39.33,0.119,2.03,4.33,2.133004926
INATOG,0.811,0.670324,2515.18,0.789,6.56,7.28,1.109756098
INEXIK,1.436,0.311782,33.18,0.155,2.14,4.57,2.135514019
INIJUM,1.249,0.121732,0.06,0.07,1.59,4.02,2.528301887
ININAW,2.517,0.089141,16.86,0.026,2.69,5.37,1.996282528
INIPOM,1.207,0.372643,97.62,0.238,3.18,4.49,1.411949686
INIREE,2.653,0.155173,32.76,0.048,1.42,4.64,3.267605634
INIRII,2.437,0.247518,143.24,0.078,5.85,7.14,1.220512821
INISAB,2.418,0.143396,42.48,0.046,1.97,5.57,2.827411168
INOHEZ,1.107,0.363668,311.91,0.296,3.66,5.18,1.415300546
INOMIJ,1.155,0.386459,419.16,0.267,4.02,5.08,1.263681592
INOVEM,1.014,0.20184,85.91,0.145,2.25,4.81,2.137777778
INUCAV,1.318,0.345182,405.81,0.24,2.95,5.27,1.786440678
INUDUQ,1.035,0.358794,382.96,0.258,0.99,5.58,5.636363636
INUNEL,1.337,0.228435,136.01,0.112,3.53,5.15,1.458923513
IPANET,0.862,0.595367,1197.16,0.636,12.01,12.25,1.019983347
IPAVUQ,1.26,0.390442,409.1,0.258,3.6,5.65,1.569444444
IPIDAN,0.991,0.535047,280.74,0.469,3.36,5.49,1.633928571
IPIJEY,1.374,0.338982,397.72,0.187,4.89,5.65,1.155419223
IPIJUM,1.97,0.208835,4.89,0.107,2.67,4.18,1.565543071
IPINIG,1.171,0.374703,400.63,0.243,2.88,5.94,2.0625
IPINUS,1.282,0.366964,337.07,0.217,2.81,5.62,2
IPIPAA,1.278,0.371365,353.05,0.218,2.78,5.74,2.064748201
IPIPEE,1.296,0.358018,327.14,0.205,2.8,5.59,1.996428571
IPIPII,1.18,0.361497,364.9,0.226,2.76,5.51,1.996376812
IPIREG,1.197,0.439007,350.71,0.303,3.64,5.32,1.461538462
IPUCOL,1.367,0.429099,278.41,0.251,2.75,5.18,1.883636364
IPUCUR,1.131,0.524926,828.85,0.35,5.46,7.09,1.298534799
IPULIO,0.873,0.50389,1081.59,0.482,4.3,4.77,1.109302326
IQADAH,1.12,0.404284,29.46,0.288,3.04,4.3,1.414473684
IQEBOX,1.116,0.254726,188.3,0.182,3.81,4.94,1.296587927
IQECAK01,1.142,0.527291,1055.7,0.393,5.77,6.66,1.154246101
IQECAK,1.145,0.526082,1042.29,0.392,5.75,6.64,1.154782609
IQEHAO,1.535,0.193631,46.39,0.082,3.07,5.02,1.635179153
IQEHAP,1.171,0.254761,133.47,0.161,1.74,4.41,2.534482759
IQEKUM,1.396,0.305265,218.21,0.166,4.21,4.86,1.154394299
IQEWOQ,1.588,0.295184,201.98,0.192,3.3,4.99,1.512121212
IQIBAN,2.079,0.147106,0.04,0.055,1.25,4.08,3.264
IQOHUT,0.922,0.520983,1324.14,0.465,5.1,6.61,1.296078431
IQOJAB,1.028,0.519071,429.94,0.386,3.53,5.54,1.569405099
IQOYET,2.047,0.193309,76.22,0.074,4.08,4.44,1.088235294
IQOZUK,1.484,0.216348,90.86,0.132,2.53,5.41,2.138339921
IQUCUT,1.225,0.212833,4.98,0.11,1.03,4.12,4
IQUZID,1.25,0.3628,192.96,0.237,3.75,4.74,1.264
IQUZOJ,1.082,0.493754,514,0.386,3.75,4.64,1.237333333
IRAYEG,1.244,0.290563,442.45,0.199,5.17,5.84,1.12959381
IREFOB,1.845,0.119314,18.05,0.048,1.35,4.42,3.274074074
IREFUH,1.975,0.123402,37.36,0.049,1.56,5.08,3.256410256
IREGAO,1.596,0.289916,269.36,0.167,4.35,5.97,1.372413793
IREGES,1.435,0.417168,744.84,0.278,4.85,6.75,1.391752577
IREGOB,1.623,0.25058,269.04,0.133,4.42,6.15,1.391402715
IREGUH,1.595,0.24083,266.64,0.131,4.35,6.25,1.436781609
IREYEK,1.399,0.294123,150.07,0.173,2.97,5.59,1.882154882
IRIBES,1.216,0.263229,59.43,0.144,2.47,4.67,1.890688259
IRIPEF,1.396,0.12996,5.31,0.061,0.75,4.23,5.64
IRIPEG,1.319,0.212748,1.77,0.116,1.93,4.12,2.134715026
IRIQUW01,1.378,0.130629,1.04,0.079,2.39,4.08,1.707112971
IROPAH,1.084,0.396604,132.87,0.265,3.26,4.76,1.460122699
IRORAK,0.753,0.629306,2036.54,0.731,5.91,7.48,1.265651438
IROROX,1.023,0.515808,661.3,0.397,3.59,5.64,1.571030641
IROROY,1.607,0.188957,4.27,0.078,2.44,4.16,1.704918033
IROSAL,1.197,0.258479,92.14,0.18,3.74,4.41,1.179144385
IROSIT,0.878,0.572781,1313.98,0.577,4.03,6.46,1.602977667
IRUWEX,1.16,0.162327,13.81,0.085,1.77,4.48,2.531073446
ISAROK,0.577,0.664676,2262.4,1.058,10.07,11.63,1.154915591
ISASEB,1.207,0.169412,71.76,0.097,1.4,4.58,3.271428571
ISAYUW,1.412,0.311617,111.87,0.164,3.98,4.33,1.087939698
ISECIT,1.445,0.278242,37.11,0.117,3.09,4.37,1.414239482
ISEFUI,1.528,0.238447,17.48,0.106,0.8,4.54,5.675
ISEGAP,1.474,0.249392,37.48,0.122,0.83,4.67,5.626506024
ISEGET,1.439,0.253415,44.05,0.127,0.86,4.84,5.627906977
ISEMEY,1.21,0.352999,654.27,0.254,5.43,6.41,1.180478821
ISEMIC,1.377,0.267557,162.14,0.161,3.44,4.73,1.375
ISIQAD,1.328,0.276749,133.95,0.146,2.35,5.02,2.136170213
ISIQEH,1.375,0.261471,122.51,0.132,2.85,4.86,1.705263158
ISIQIL,1.348,0.277484,130.5,0.144,2.35,5.02,2.136170213
ISIYIT,1.107,0.254836,61.84,0.186,2.13,4.55,2.136150235
ISIYUF01,1.978,0.273086,4.6,0.148,2.8,4.24,1.514285714
ISOHEE,0.847,0.641518,1723.98,0.636,5.72,8.36,1.461538462
ISOHUV,1.068,0.383319,85.12,0.259,3.28,4.64,1.414634146
ISOJAD,1.245,0.194425,10.41,0.122,1.66,4.21,2.536144578
ISOJOQ,0.988,0.564921,613.02,0.441,3.7,5.7,1.540540541
ISUBII,1.627,0.268762,21.83,0.129,1.36,4.44,3.264705882
ISUGIN,2.185,0.235618,68.27,0.077,2.56,5.9,2.3046875
ISUGOT,2.13,0.236719,64.84,0.08,2.53,5.84,2.308300395
ISUJUD,1.429,0.158769,35.54,0.087,1.7,4.31,2.535294118
ITAHEQ,1.773,0.142508,16.95,0.043,3.68,4.44,1.206521739
ITAHUH,1.337,0.27587,127.15,0.141,2.34,5,2.136752137
ITATEE,1.353,0.634439,1553.38,0.436,5.5,6.63,1.205454545
ITAVUW,1.326,0.311034,56.2,0.186,2.19,4.39,2.00456621
ITIJIF,0.984,0.416494,242.57,0.339,3.44,5.02,1.459302326
ITIPAE,1.817,0.298956,139.61,0.157,3.19,4.83,1.514106583
ITIVAK,1.406,0.157755,0.78,0.083,1.43,4.05,2.832167832
ITIZUH,1.711,0.126838,1.96,0.059,1.29,4.2,3.255813953
ITOSEQ,1.239,0.553707,785.96,0.388,3.69,5.39,1.460704607
ITOTAN,1.35,0.155009,27.69,0.067,0.78,4.4,5.641025641
IVAHIW,0.974,0.3925,315.07,0.343,3.39,5.54,1.634218289
IVAPEB,1.046,0.598376,1393.55,0.511,4.57,7.31,1.599562363
IVAPUR,1.611,0.349394,197.58,0.182,3.2,5.02,1.56875
IVAQAY,0.971,0.651556,1854.14,0.623,5.31,8.5,1.600753296
IVAQEC,1.841,0.196833,0.19,0.076,1.93,4.12,2.134715026
IVARED,0.882,0.481642,919,0.498,2.9,6.69,2.306896552
IVASAB02,1.074,0.489175,476.53,0.497,3.67,5.36,1.460490463
IVASEF02,1.091,0.496057,470.58,0.486,3.68,5.38,1.461956522
IVASIJ02,1.214,0.421356,360.17,0.352,3.43,5.19,1.513119534
IVASOP04,1.252,0.429305,374.39,0.348,3.77,4.9,1.299734748
IVASOP05,1.225,0.427858,369.05,0.349,3.42,5.17,1.511695906
IVASUU,1.425,0.150054,0.37,0.061,1.03,4.13,4.009708738
IVAXAG,1.336,0.700015,1939.38,0.516,6.94,8.19,1.180115274
IVAXEK,1.49,0.701112,1760.43,0.462,6.78,8.09,1.193215339
IVEFOE,1.629,0.335759,113.43,0.178,3.01,4.4,1.46179402
IVEHIA01,1.338,0.222679,20.66,0.105,2.14,4.57,2.135514019
IVERAE,1.214,0.457841,886.66,0.378,4.34,5.36,1.235023041
IVERIM,1.161,0.457341,167.2,0.409,3.23,4.72,1.46130031
IVESOS,1.009,0.747635,1690.92,0.684,6.58,13.25,2.013677812
IVITOY,1.249,0.323293,55.29,0.181,3.54,4.37,1.234463277
IVITUE,0.895,0.526626,54.63,0.466,3.21,4.28,1.333333333
IVIZOE,0.975,0.418308,409.68,0.309,2.8,5.02,1.792857143
IVOBUS,0.866,0.612186,1473.95,0.597,5.36,8.58,1.600746269
IVOGUX,1.628,0.335718,39.23,0.183,2.87,4.5,1.567944251
IVOJOU,1.156,0.363416,507.68,0.229,4.58,5.65,1.233624454
IVOLOW,2.287,0.209872,4.36,0.056,3.3,4.28,1.296969697
IVOMOW,1.205,0.311409,105.82,0.225,3.32,4.7,1.415662651
IVOMUC,1.251,0.321558,494.73,0.214,4.59,5.95,1.296296296
IVOQUG,1.146,0.461711,363.79,0.331,3.47,5.66,1.631123919
IVUVIG,1.728,0.240866,18.11,0.095,2.23,4.46,2
IVUXED,1.386,0.197785,0.4,0.132,2.06,4.11,1.995145631
IVUXIH,1.399,0.205189,0.14,0.132,2.27,4.05,1.784140969
IWAJAR,1.335,0.302073,4.01,0.184,2.54,4.15,1.633858268
IWAJEW,1.319,0.320949,279.73,0.183,2.59,5.55,2.142857143
IWAKOG,0.778,0.759293,2636.96,0.918,8.14,9.44,1.15970516
IWAVIM,1.458,0.137075,16.9,0.052,1.59,4.51,2.836477987
IWECAQ,1.473,0.242843,148.52,0.121,1.68,5.48,3.261904762
IWELIG01,1.867,0.355111,90.69,0.142,4.28,4.58,1.070093458
IWELIG,1.86,0.355984,98.81,0.144,4.3,4.6,1.069767442
IWELOM,1.864,0.359313,115.09,0.144,4.38,4.69,1.070776256
IWEMUT,0.974,0.483683,851.62,0.412,3.62,6.47,1.787292818
IWEXIS01,1.164,0.456517,586.85,0.372,3.64,5.51,1.513736264
IWEXIS,1.138,0.461865,663.57,0.385,3.53,5.55,1.57223796
IWIPOV,1.248,0.229741,52.19,0.13,1.82,4.59,2.521978022
IWIRIP,1.574,0.45591,82.26,0.264,3.67,4.33,1.179836512
IWIZAP,1.141,0.41896,487.72,0.31,3.47,5.79,1.668587896
IWOGEI,1.706,0.175735,21.72,0.084,1.6,4.51,2.81875
IWOLAJ,1.188,0.305338,95.04,0.192,2.98,4.86,1.630872483
IWOLEL,1.176,0.423286,592.97,0.337,3.98,4.6,1.155778894
IWOQER,1.156,0.235035,28.54,0.142,3.43,4.57,1.332361516
IWOQIV,0.553,0.709788,3083.62,1.153,4.65,7.76,1.668817204
IWOQOB,0.56,0.653476,2940.35,1.054,6.61,12.83,1.940998487
IWOQOC,0.796,0.566771,2435.88,0.658,5.43,6.2,1.141804788
IWOQUI,0.804,0.571498,2409.41,0.656,5.56,6.17,1.10971223
IWOSUJ01,1.371,0.373679,100.29,0.21,3.09,4.84,1.566343042
IWOSUJ,1.389,0.328001,42.53,0.189,2.5,4.48,1.792
IWOTAQ,1.345,0.37031,110.45,0.22,3.12,4.9,1.570512821
IWUYOO,1.266,0.333996,116.18,0.196,3.5,4.55,1.3
IXAJEX,1.257,0.320365,110.22,0.209,3.77,4.45,1.180371353
IXAZEO,1.615,0.293826,230.78,0.188,4.18,4.83,1.155502392
IXAZUE,0.984,0.617332,1266.61,0.56,4,5.33,1.3325
IXEKUS01,1.024,0.35875,115.12,0.269,2.74,4.67,1.704379562
