Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
VIDMOK,1991,0.660,0.635,2459.440,0.862,4.750,6.160,1.297,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3)
KOSFIH,1992,1.721,0.185,51.200,0.098,1.100,4.390,3.991,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0)
KOWKUC,1992,0.930,0.202,183.460,0.161,1.290,5.150,3.992,3D,[0.8-1.0),[0.2-0.3),[150-200),[0.1-0.2),[0.7-1.4),[5.0-5.3),[3.0-4.0)
VOPLIV,1992,1.029,0.234,103.550,0.170,1.520,4.980,3.276,3D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[1.4-1.6),[4.8-5.0),[3.0-4.0)
SOFCEV,1992,1.186,0.219,55.930,0.145,1.670,4.720,2.826,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
SOJGUT,1992,1.205,0.278,10.590,0.175,1.780,4.100,2.303,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5)
SOZSUV,1992,1.162,0.225,124.210,0.159,2.020,5.120,2.535,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[1.6-2.2),[5.0-5.3),[2.5-3.0)
KOLFUM,1992,1.153,0.298,16.610,0.195,2.100,4.200,2.000,2D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
JOFZIN,1992,1.537,0.249,2.130,0.115,2.590,4.070,1.571,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.5-1.6)
ACUFUR01,1992,1.146,0.324,102.970,0.344,2.890,4.360,1.509,2D,[1.1-1.2),[0.3-0.4),[100-150),[0.3-0.4),[2.6-3.0),[4.3-4.4),[1.5-1.6)
