DDEC code,MOF family,Ref code,Pressure (bar),Grav. Uptake (mol/kg),Vol. Uptake (cm3/cm3),Qst (kJ/mol),Grav. Working Capacity (mol/kg),Deliverable Capacity (Vol.),Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Vol. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Pore Volume (cm3/g),Void Fraction
KIGCEK,ZnO,core-mof-ddec-1258,1,0.242729794,5.390772305,20.72801,3.046274277,80.52115594,0.990795,10.28,10.39,1206.94,1218.15,0.454180734,0.45
KIHTOL,None,core-mof-ddec-1259,1,0.068745342,2.858589228,15.51423,7.928812528,176.09055,1.85521,2.72,3.42,0,0,0.048512028,0.09
BAKGIF,None,core-mof-ddec-126,1,0.338751762,7.719767403,21.43938,1.551997085,64.53560417,1.01674,6.31,7.55,1337.91,1315.87,0.422920314,0.43
KIJYIM,None,core-mof-ddec-1260,1,0.027993718,1.75136072,16.98933,7.689339081,175.2312929,2.79124,2.52,3.01,0,0,0.035826371,0.1
KILFUI,None,core-mof-ddec-1261,1,0.35859861,10.44120181,18.17365,1.399380919,87.54895597,1.29906,3.53,4.6,0,0,0.146259603,0.19
KILJEV,None,core-mof-ddec-1262,1,0.092067886,4.043536008,19.81064,3.178945923,92.56035866,1.95946,3.18,3.85,0,0,0.051034469,0.1
KINDIW,None,core-mof-ddec-1263,1,0.707907718,25.25157895,20.91143,1.797262833,78.93411415,1.59147,3.37,4.38,0,0,0.131953477,0.21
KINDOC,None,core-mof-ddec-1264,1,0.560199229,12.79974445,20.62271,1.713378126,61.11743373,1.0194,5.98,6.25,1647.57,1616.23,0.490484599,0.5
KINFAQ,None,core-mof-ddec-1265,1,0.394362733,11.96037321,16.41161,8.017111486,183.1794351,1.3531,5.6,7.62,1472.98,1088.59,0.391693149,0.53
KINFEU,None,core-mof-ddec-1266,1,0.427123688,13.97961987,18.12084,6.377329813,193.4139262,1.46024,5.37,7.76,1295.96,887.499,0.356105846,0.52
KINHAS,None,core-mof-ddec-1267,1,0.517287229,15.08430714,19.36597,5.103195836,167.0259455,1.30097,3.77,4.54,409.111,314.466,0.146044874,0.19
KINJUO,None,core-mof-ddec-1268,1,0.398539798,11.55204876,21.43398,2.623834015,76.51207287,1.29323,3.75,4.58,304.145,235.183,0.131453802,0.17
KINKAV,None,core-mof-ddec-1269,1,0.363421024,9.857731833,20.21694,1.607943308,46.60774052,1.21016,3.74,4.5,224.899,185.842,0.123950552,0.15
BAKJEE,None,core-mof-ddec-127,1,0.578646881,11.91883262,19.75496,1.562403131,42.37991218,0.918977,5.41,6.45,1981.47,2156.17,0.631136579,0.58
KINLAW,None,core-mof-ddec-1270,1,0.012830226,0.410036483,16.42641,9.283561171,191.2206136,1.42585,2.52,3.28,0,0,0.049093523,0.07
KINQAB,None,core-mof-ddec-1271,1,0.434892994,10.9680408,19.31663,0.865244312,27.65202514,1.12522,4.09,5.08,347.595,308.914,0.159968717,0.18
KIPJIE,None,core-mof-ddec-1272,1,0.143503974,5.30886243,20.44559,2.837879822,71.57158686,1.65051,5.51,6.99,912.667,552.96,0.181762001,0.3
